,1,2,3,4,5,6,B1,B2,B3,B4,B5,B6
5.0,315,415,415,360,420,420,315,414,415,314,420,420
12.0,315,415,415,360,420,420,315,414,415,360,420,420
18.0,315,415,415,360,420,420,315,414,415,360,420,420
