,1,1B,2,3,4,5,6,6A,6B,7,8
5.0,9813700,,10169250,8256950,10171200,8619000,10695880,,,6934140,8907225
10.0,10131550,,10269350,10291450,10544300,8933600,11213790,,,7235460,9250180
14.0,10447450,,10543000,8825050,10844600,9213750,11404070,,,7423380,9475050
