,1,10A,10B,11,11A,1A,1B,2,2A,2B,3A,3B,4A,4B,5A,5B,6,6A,6B,7,7A,7B,8A,8A8B,8B,9A,9A9B,9B,A1,B4
4.0,7781,10406,11091,7858,11874,11276,11479,7899,11849,9645,11295,11587,10167,12417,10228,12417,7899,10753,12265,7899,11296,12380,11155,10111,12485,11280,10510,12930,10501,11305
9.0,8057,10740,11602,8128,12009,11509,12019,8174,12066,10012,11635,12100,10512,12869,10689,12218,8174,10978,10178,8174,11048,12066,11715,10309,13430,11811,10390,13308,10649,11741
14.0,8332,10883,11863,8402,12440,11828,12022,8453,12340,10397,11911,12539,11655,12299,10742,12073,8453,11645,13653,8453,11593,13090,11991,10669,13881,10988,10753,13853,11019,12169
