,1,2,3,4,5,A1,A4,A5,PENTHOUSE
5.0,4197420,4197420,4712400,4518515,4736931,4169070,4491375,4736931,4197420
10.0,4349430,4349430,4882815,4681060,4908111,4320270,4653920,4908111,4349430
16.0,4531410,4531410,5087250,4875760,5113844,4501980,4848915,5113844,4531410
