,1,10,11,12,12A,14,15,16,17,18,19,2,20,3,4,5,6,7,8,9
5.0,1107,640,660,625,670,535,,415,495,670,490,808,610,734,734,756,734,734,734,740
9.0,745,640,660,945,763,535,,415,495,670,490,808,610,734,734,756,734,548,734,758
13.0,617,685,545,710,763,535,,415,495,670,490,808,610,758,758,758,758,758,758,548
