,1,10,11,12,12A,14,15,16,17,18,19,2,20,3,4,5,6,7,8,9
5.0,8418735,5443840,5940000,5730000,5522140,4938050,,3869460,4731705,5917440,4689300,6467232,5505860,6571502,6060638,6113772,6087796,6070914,6087796,6096120
9.0,6315365,5606400,5992800,8252685,6361894,5070195,,3984830,4855455,5957640,4811800,6675696,5650430,6757938,6261754,6396516,6288912,5136404,6288912,6432388
13.0,5849777,6069785,5298490,6737190,6561800,5355350,,4100200,4992075,6107050,4947530,7086968,5818180,7125200,6639322,6610518,6610518,6847014,6610518,5275048
