,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,44,45,46,47,whole floor
4.0,11176,10775,11738,11279,11738,11279,10888,11021,9203,11808,11279,10519,11579,11537,11021,11308,11738,11279,11775,11293,11047,11738
10.0,11684,10742,12277,11793,12277,11793,11548,11521,9630,12348,11793,10970,12110,12246,11521,12088,12277,11793,12319,11816,11549,12277
15.0,12503,11129,12727,12220,10731,12220,11996,11939,10518,10553,12220,13096,12487,12695,11939,12661,12727,12220,13008,12244,12695,12727
