,A,B,C,D,E,G,H
3.0,4238544,4023995,2458968,2621096,2621096,2754150,2914702
5.0,4301196,4083685,2495508,2659824,2659824,2795142,2957829
6.0,4332522,4113530,2513604,2679376,2679376,2815638,2979606
