,1,1B,2,3,4,5,6,6A,6B,7,8
5.0,15098,,15645,12703,15648,13260,15964,,,12841,15765
10.0,15587,,15799,15833,16222,13744,16737,,,13399,16372
14.0,16073,,16220,13577,16684,14175,17021,,,13747,16770
