,A,A & E,AE,B,C,D,E
3.0,3114549,4614235,4614235,2794372,2921920,2367908,2444040
6.0,3186036,4714656,4714656,2858555,2988616,2421846,2500150
8.0,3233412,4782092,4782092,2900849,3032683,2457606,2174030
