,1,2,3,4,5,A1,A4,A5,PENTHOUSE
5.0,15546,15546,14960,15317,14943,15441,15225,14943,15546
10.0,16109,16109,15501,15868,15483,16001,15776,15483,16109
16.0,16783,16783,16150,16528,16132,16674,16437,16132,16783
