,1,10A,10B,11,11A,1A,1B,2,2A,2B,3A,3B,4A,4B,5A,5B,6,6A,6B,7,7A,7B,8A,8A8B,8B,9A,9A9B,9B,A1,B4
4.0,4863125,2539064,3061116,4164740,2742894,3461732,3099330,3988995,2891156,1880775,2755980,2259465,2480748,2346813,2495632,2346813,3988995,2591473,2391675,3988995,2609376,2414100,2721820,4418507,2409605,2605680,4477260,2521350,4032384,2136645
9.0,5035625,2620560,3202152,4307840,2774079,3533263,3245130,4127870,2944104,1952340,2838940,2359500,2564928,2432241,2608116,2309202,4127870,2645698,1984710,4127870,2552088,2352870,2858460,4505033,2591990,2728341,4426140,2595060,4089216,2219049
14.0,5207500,2655452,3274188,4453060,2873640,3631196,3245940,4268765,3010960,2027415,2906284,2445105,2843820,2324511,2621048,2281797,4268765,2806445,2662335,4268765,2677983,2552550,2925804,4662353,2679033,2538228,4580778,2701335,4231296,2299941
