,A,B,C,D,E,F,G,I,J
3.0,7478,6987,7495,7857,7834,7528,7867,7908,7900
6.0,7645,7125,7657,8033,7488,7695,7970,8085,8077
8.0,7756,7111,7770,8151,8127,7807,8264,8204,8196
