,A,B,C,D,E,F,G,H,K,L
2.0,3723595,3683394,3713931,3677778,3690063,3690063,3330020,3172600,3284850,3668416
4.0,3745521,3738501,3770442,3732534,3745521,3745521,3587409,3225960,3334260,3723800
6.0,3868020,3792555,3825198,3786237,3799926,3925935,3639357,3189130,3382145,3777808
