,A,B,C,E,F,G,H,HI,I
7.0,7678320,4579312,5247044,6174000,5689800,5459896,4388640,9219210,6417320
10.0,7840560,4678403,5366588,6232200,5824800,5583929,4485600,9431730,6563648
14.0,7102680,4810189,5525980,6486600,5822507,5750121,4612800,9720480,6763120
