,1,2,3,4,5,6,7,8,A1,A2,A4,A5,A8
6.0,315,420,420,360,360,420,420,360,360,420,360,360,360
12.0,315,420,420,360,360,420,358,360,360,420,360,360,360
19.0,315,420,420,360,360,420,358,360,360,420,360,360,360
