,1,2,3,4,5,6,B1,B2,B3,B4,B5,B6
5.0,3454920,4286120,4286120,3807000,4328520,4407900,3427200,4277862,4626005,3467816,4292400,4341960
12.0,3638565,4506900,4506900,4006800,4551120,4551120,3610215,5150988,4884135,4138200,4462920,4567920
18.0,3739365,4696555,4696555,4181040,4743060,4743060,3717000,5371236,5113630,4312800,4661160,4761540
