,25,26,27,28,29,2931,30,31,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,whole floor
4.0,7915565,7629710,6146360,5704600,6146360,10833900,5704600,7325550,7972330,6797250,6181740,5704600,6838100,5084460,7080270,7868670,7431750,6206140,5704600,6146360,5704600,8819580,8642400,6146360
10.0,8220660,7142515,6397680,5952650,6397680,11313620,5952650,7716100,7430670,7071975,6434890,5952650,6348270,5320870,7366430,7441620,6964650,6459900,5044546,6397680,5952650,9189075,9007200,6397680
15.0,5806845,7491405,6849080,6167150,5266575,11716960,6167150,5968020,7789100,7306875,4423935,4423935,6562990,5521090,5419720,5650425,6101691,5471271,5235932,6849080,6167150,9497390,8408000,6849080
