,A,B,C,D,E,F,G,I,J
3.0,3559528,2536281,2660725,2828520,2867244,3447824,2832120,2744076,2757100
6.0,3639020,2586375,2718235,2891880,2740608,3524310,3012660,2805495,2818873
8.0,3691856,2581293,2758350,2934360,2974482,3575606,2776704,2846788,2860404
