,1,11,13,15,17,19,21,22,23,3,5,7,9
4.0,9885,10724,10714,9838,9946,10760,10614,10714,9837,10635,10714,10049,10062
10.0,10302,11162,11153,10268,10374,11201,10852,11153,10155,10964,11153,10480,10492
15.0,10783,11766,10609,10420,10508,11574,11354,11524,10498,11506,10322,10617,10594
