,2,3,4,5,6,6A,6B
2.0,3670688,3712544,3662794,3331296,3359504,1807225,
4.0,3720472,3762692,3670296,3377048,3405256,1833468,
6.0,3773392,3816024,3722432,3360336,3454104,1859550,
