,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6046369.333333333,20676.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",4633362.0,20871.0,222.0,7802297.999999999,20641.0,378.0,5703448.0,20516.0,278.0,,-0.0937034775718053,-0.09371438590339265
2022-11-15,6671513.333333333,22814.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5112881.999999999,23031.0,222.0,8608572.0,22774.0,378.0,6293086.0,22637.0,278.0,,-0.04648341767253905,-0.046489920450270894
2022-10-15,6996746.0,23926.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5362188.0,24154.0,222.0,9027774.0,23883.0,378.0,6600276.0,23742.0,278.0,,-6.564525570584845e-05,-6.965340465847625e-05
2022-9-15,6997205.333333333,23928.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5362632.0,24156.0,222.0,9028152.0,23884.0,378.0,6600832.0,23744.0,278.0,,-0.004126838760289853,-0.004134180516633834
2022-8-15,7026201.333333333,24027.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5385054.0,24257.0,222.0,9065196.0,23982.0,378.0,6628354.0,23843.0,278.0,,0.015870020172235044,0.014810643390116729
2022-7-15,6916437.333333333,23676.666666666668,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5325336.0,23988.0,222.0,8869014.0,23463.0,378.0,6554962.0,23579.0,278.0,,0.0451461701753848,0.0451428739589772
2022-6-15,6617674.666666667,22654.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5095344.0,22952.0,222.0,8485722.0,22449.0,378.0,6271958.0,22561.0,278.0,,-0.0509824444632041,-0.05098236353734653
2022-5-15,6973184.666666667,23871.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5369070.000000001,24185.0,222.0,8941590.0,23655.0,378.0,6608894.0,23773.0,278.0,,-0.014544446971468505,-0.014545204348424323
2022-4-15,7076102.666666667,24223.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5448324.000000001,24542.0,222.0,9073512.0,24004.0,378.0,6706472.0,24124.0,278.0,,0.049661292842746896,0.04965911717125038
2022-3-15,6741320.0,23077.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5190582.0,23381.0,222.0,8644104.0,22868.0,378.0,6389274.0,22983.0,278.0,,0.011453493152370209,0.011453950444132666
2022-2-15,6664982.666666667,22816.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5131751.999999999,23116.0,222.0,8546202.0,22609.0,378.0,6316994.0,22723.0,278.0,,-0.04470468804450656,-0.04470279549482914
