,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5786247.357142857,21374.14285714286,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",7746438.0,21399.0,362.0,5702674.999999999,20737.0,275.0,4324618.0,21409.0,202.0,4270280.0,21140.0,202.0,4365220.0,21610.0,202.0,7102049.999999999,20950.0,339.0,7434981.0,20149.0,369.0,5978070.000000001,22141.0,270.0,5880600.000000001,21780.0,270.0,5368890.0,21390.0,251.0,5309905.0,21155.0,251.0,5581212.0,20982.0,266.0,5978525.0,22225.0,269.0,5963999.0,22171.0,269.0,,-0.09413896262993171,-0.09414051147922109
2022-11-15,6387566.214285715,23595.428571428572,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8550802.0,23621.0,362.0,6295575.000000001,22893.0,275.0,4774068.0,23634.0,202.0,4714074.0,23337.0,202.0,4819316.0,23858.0,202.0,7840053.0,23127.0,339.0,8208036.0,22244.0,369.0,6599880.0,24444.0,270.0,6491609.999999999,24043.0,270.0,5926110.0,23610.0,251.0,5861352.0,23352.0,251.0,6161092.0,23162.0,266.0,6599915.0,24535.0,269.0,6584044.0,24476.0,269.0,,-0.0460977433909312,-0.04618414176033914
2022-10-15,6696248.142857143,24737.928571428572,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8967464.0,24772.0,362.0,6603025.0,24011.0,275.0,5006974.0,24787.0,202.0,4944152.0,24476.0,202.0,5054848.0,25024.0,202.0,8181087.0,24133.0,339.0,8608770.0,23330.0,369.0,6922530.000000001,25639.0,270.0,6807780.0,25214.0,270.0,6214509.0,24759.0,251.0,6146990.0,24490.0,251.0,6461937.999999999,24293.0,266.0,6921908.0,25732.0,269.0,6905499.0,25671.0,269.0,,0.0003604702676693883,0.0005200042755908463
2022-9-15,6693835.214285715,24725.071428571428,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8967826.0,24773.0,362.0,6604125.0,24015.0,275.0,4962533.999999999,24567.0,202.0,4944960.0,24480.0,202.0,5055858.0,25029.0,202.0,8181765.0,24135.0,339.0,8609877.0,23333.0,369.0,6924150.0,25645.0,270.0,6808320.0,25216.0,270.0,6214760.0,24760.0,251.0,6147492.0,24492.0,251.0,6462736.0,24296.0,266.0,6922984.0,25736.0,269.0,6906306.0,25674.0,269.0,,-0.004167677230340616,-0.004171449449224984
2022-8-15,6721849.714285715,24828.64285714286,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9004388.0,24874.0,362.0,6631900.0,24116.0,275.0,4983340.0,24670.0,202.0,4965766.0,24583.0,202.0,5077472.0,25136.0,202.0,8216004.0,24236.0,339.0,8646039.0,23431.0,369.0,6953850.0,25755.0,270.0,6836670.0,25321.0,270.0,6240111.0,24861.0,251.0,6173094.0,24594.0,251.0,6489868.0,24398.0,266.0,6952036.0,25844.0,269.0,6935357.999999999,25782.0,269.0,,0.011131494956440724,0.011129372409279359
2022-7-15,6647849.214285715,24555.35714285714,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8904476.0,24598.0,362.0,6561499.999999999,23860.0,275.0,4928597.999999999,24399.0,202.0,4911024.0,24312.0,202.0,5021720.0,24860.0,202.0,8125151.999999999,23968.0,339.0,8550837.0,23173.0,369.0,6877710.0,25473.0,270.0,6761070.0,25041.0,270.0,6170584.0,24584.0,251.0,6104571.0,24321.0,251.0,6418314.0,24129.0,266.0,6875371.0,25559.0,269.0,6858961.999999999,25498.0,269.0,,0.0446476565484446,0.04450561637301109
2022-6-15,6363723.857142857,23509.071428571428,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8520032.0,23536.0,362.0,6280450.0,22838.0,275.0,4752050.0,23525.0,202.0,4699126.0,23263.0,202.0,4805176.0,23788.0,202.0,7774287.0,22933.0,339.0,8182944.0,22176.0,369.0,6580980.0,24374.0,270.0,6468930.0,23959.0,270.0,5904022.0,23522.0,251.0,5841272.0,23272.0,251.0,6141408.0,23088.0,266.0,6578664.0,24456.0,269.0,6562792.999999999,24397.0,269.0,,-0.05104986584217952,-0.05104776952530343
2022-5-15,6706067.714285715,24773.714285714286,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8979048.0,24804.0,362.0,6617875.000000001,24065.0,275.0,5007782.0,24791.0,202.0,4951828.0,24514.0,202.0,5063332.0,25066.0,202.0,8192952.0,24168.0,339.0,8622792.0,23368.0,369.0,6934410.0,25683.0,270.0,6817230.0,25249.0,270.0,6222290.0,24790.0,251.0,6155775.0,24525.0,251.0,6471514.0,24329.0,266.0,6932399.0,25771.0,269.0,6915721.0,25709.0,269.0,,-0.01462061991223551,-0.014617432389048113
2022-4-15,6805569.357142857,25141.214285714286,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9112988.0,25174.0,362.0,6715775.0,24421.0,275.0,5081916.0,25158.0,202.0,5025154.0,24877.0,202.0,5138072.0,25436.0,202.0,8314653.0,24527.0,339.0,8750466.0,23714.0,369.0,7036740.0,26062.0,270.0,6918750.0,25625.0,270.0,6315160.0,25160.0,251.0,6247390.0,24890.0,251.0,6567540.0,24690.0,266.0,7035157.0,26153.0,269.0,7018210.0,26090.0,269.0,,0.0494877266196323,0.04946524462784785
2022-3-15,6484658.357142857,23956.214285714286,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8683294.0,23987.0,362.0,6398425.0,23267.0,275.0,4848808.0,24004.0,202.0,4787602.0,23701.0,202.0,4894864.0,24232.0,202.0,7922091.0,23369.0,339.0,8337186.0,22594.0,369.0,6703560.0,24828.0,270.0,6592320.0,24416.0,270.0,6017474.0,23974.0,251.0,5952465.0,23715.0,251.0,6257384.0,23524.0,266.0,6702942.000000001,24918.0,269.0,6686802.000000001,24858.0,269.0,,0.011383357904592994,0.01138378587023392
2022-2-15,6411672.0,23686.571428571428,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8585916.0,23718.0,362.0,6326100.0,23004.0,275.0,4794268.0,23734.0,202.0,4733668.0,23434.0,202.0,4839516.0,23958.0,202.0,7832934.0,23106.0,339.0,8243091.0,22339.0,369.0,6627690.0,24547.0,270.0,6518340.0,24142.0,270.0,5950457.0,23707.0,251.0,5885698.999999999,23449.0,251.0,6186894.0,23259.0,266.0,6627352.999999999,24637.0,269.0,6611482.0,24578.0,269.0,,-0.045218037605706196,-0.04512458139327302
