,lumpSum_avg,npsf_avg,final_address,lumpSum_RA,npsf_RA,nfa_RA,lumpSum_RB,npsf_RB,nfa_RB,lumpSum_RC,npsf_RC,nfa_RC,lumpSum_RD,npsf_RD,nfa_RD,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8213627.25,11646.25,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8598072.0,11746.0,732.0,7907774.0,11578.0,683.0,7802080.0,11440.0,682.0,8546583.0,11821.0,723.0,,0.006033104265873668,0.006046863189720364
2020-11-15,8164370.75,11576.25,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8549760.0,11680.0,732.0,7866794.0,11518.0,683.0,7742064.0,11352.0,682.0,8498865.0,11755.0,723.0,,-0.012349725186149074,-0.01234962887125668
2020-10-15,8266459.25,11721.0,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8656632.0,11826.0,732.0,7968561.0,11667.0,683.0,7835498.0,11489.0,682.0,8605146.0,11902.0,723.0,,0.013206404393242499,0.013226141078838127
2020-9-15,8158712.0,11568.0,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8536584.0,11662.0,732.0,7861330.0,11510.0,683.0,7724332.0,11326.0,682.0,8512602.0,11774.0,723.0,,-0.01452449989263449,-0.014524854112535679
2020-8-15,8278959.75,11738.5,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8662488.0,11834.0,732.0,7980171.999999999,11684.0,683.0,7835498.0,11489.0,682.0,8637681.0,11947.0,723.0,,-0.01821088906541446,-0.018212232096184056
2020-7-15,8432523.5,11956.25,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8822796.0,12053.0,732.0,8131798.0,11906.0,683.0,7978036.0,11698.0,682.0,8797464.0,12168.0,723.0,,0.011677236209869823,0.011676855710447853
2020-6-15,8335191.5,11818.25,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8721048.0,11914.0,732.0,8040959.0,11773.0,683.0,7883238.0,11559.0,682.0,8695521.0,12027.0,723.0,,-0.0007171952268707482,-0.0007187097046948976
2020-5-15,8341173.75,11826.75,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8726904.0,11922.0,732.0,8049838.0,11786.0,683.0,7886648.0,11564.0,682.0,8701305.0,12035.0,723.0,,0.02657949845540908,0.02647167313993104
2020-4-15,8125209.75,11521.75,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8431908.0,11519.0,732.0,7866794.0,11518.0,683.0,7701826.0,11293.0,682.0,8500311.0,11757.0,723.0,,-0.003610271329539838,-0.0036104985514766597
2020-3-15,8154650.25,11563.5,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8462652.0,11561.0,732.0,7898212.0,11564.0,683.0,7727060.0,11330.0,682.0,8530677.0,11799.0,723.0,,0.021759364660194347,0.021758819501203952
2020-2-15,7980989.0,11317.25,"THE CAPITOL FLORENCE (R WING)(Block 1,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,1座(首都),1 康城路",8282580.0,11315.0,732.0,7732243.0,11321.0,683.0,7560652.0,11086.0,682.0,8348481.0,11547.0,723.0,,-0.014008486630042949,-0.014005053145147217
