,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7780090.25,16922.75,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",11449356.0,15924.0,719.0,5891141.999999999,17378.0,339.0,7568910.0,16490.0,459.0,6210953.0,17899.0,347.0,,0.003204931791076282,0.0032011856243052694
2022-11-15,7755235.25,16868.75,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",11412687.000000002,15873.0,719.0,5872497.0,17323.0,339.0,7544583.000000001,16437.0,459.0,6191174.0,17842.0,347.0,,-0.029923815992574876,-0.029918339179941356
2022-10-15,7994460.0,17389.0,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",11764997.0,16363.0,719.0,6053523.0,17857.0,339.0,7777296.000000001,16944.0,459.0,6382023.999999999,18392.0,347.0,,-0.04674272074963637,-0.04674715967492149
2022-9-15,8386466.25,18241.75,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",12341635.0,17165.0,719.0,6350487.0,18733.0,339.0,8158724.999999999,17775.0,459.0,6695018.0,19294.0,347.0,,-0.01796594418888242,-0.017967214879814786
2022-8-15,8539893.5,18575.5,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",12567401.0,17479.0,719.0,6466764.0,19076.0,339.0,8307900.0,18100.0,459.0,6817509.0,19647.0,347.0,,-0.024957711723040288,-0.024946524415049298
2022-7-15,8758485.25,19050.75,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",12889513.0,17927.0,719.0,6632195.999999999,19564.0,339.0,8520876.0,18564.0,459.0,6991356.0,20148.0,347.0,,-0.03343342687714568,-0.03343522875734095
2022-6-15,9061440.25,19709.75,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13335293.0,18547.0,719.0,6861699.0,20241.0,339.0,8815554.0,19206.0,459.0,7233215.0,20845.0,347.0,,0.0048701285649510595,0.004868909083956874
2022-5-15,9017523.75,19614.25,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13270583.0,18457.0,719.0,6828477.0,20143.0,339.0,8772867.0,19113.0,459.0,7198168.0,20744.0,347.0,,0.003374132192844659,0.0033762613021626198
2022-4-15,8987199.75,19548.25,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13226005.0,18395.0,719.0,6805425.0,20075.0,339.0,8743491.0,19049.0,459.0,7173878.0,20674.0,347.0,,0.026386523925555183,0.02638383891419349
2022-3-15,8756155.25,19045.75,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",12885918.0,17922.0,719.0,6630500.999999999,19559.0,339.0,8518581.0,18559.0,459.0,6989621.0,20143.0,347.0,,-0.010005875018001653,-0.01000610762413423
2022-2-15,8844653.75,19238.25,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13016057.0,18103.0,719.0,6697623.0,19757.0,339.0,8604873.0,18747.0,459.0,7060061.999999999,20346.0,347.0,,-0.03412983157382288,-0.03412742243197109
2022-1-15,9157187.0,19918.0,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13476217.0,18743.0,719.0,6934245.0,20455.0,339.0,8908730.999999998,19409.0,459.0,7309555.0,21065.0,347.0,,0.005898203192395535,0.005896092418407939
2021-12-15,9103492.75,19801.25,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13397127.0,18633.0,719.0,6893565.0,20335.0,339.0,8856405.0,19295.0,459.0,7266874.0,20942.0,347.0,,-0.02808428678427921,-0.02808795739563652
2021-11-15,9366545.5,20373.5,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13783949.0,19171.0,719.0,7092897.0,20923.0,339.0,9112527.0,19853.0,459.0,7476809.0,21547.0,347.0,,0.030243463061911724,0.030239437688048376
