,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_H3,npsf_H3,nfa_H3,nfa_avg,lumpSum_change,npsf_change
2020-12-15,57054348.427992955,36617.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",49856595.54098087,36234.0,1244.0,64252101.31500505,37000.0,1570.0,,0.005610705827557627,-0.026842426980625667
2020-11-15,56736019.31379661,37627.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",49577778.87328471,37233.0,1244.0,63894259.754308514,38021.0,1570.0,,,
2020-10-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-9-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-8-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-7-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-6-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-5-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-4-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-3-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-2-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2020-1-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-12-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-11-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-10-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-9-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-8-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-7-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-6-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-5-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-4-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-3-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2019-2-15,55269853.0,39234.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",48297056.0,38824.0,1244.0,62242650.0,39645.0,1570.0,,0.017347112082185978,0.017347110759616813
2019-1-15,54327429.0,38565.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",47473528.0,38162.0,1244.0,61181330.0,38969.0,1570.0,,0.040834504080099476,0.04083395182511307
2018-12-15,52196030.0,37052.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",45611260.0,36665.0,1244.0,58780800.0,37440.0,1570.0,,-0.03532924416123273,-0.035329801221052115
2018-11-15,54107611.0,38409.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",47281952.0,38008.0,1244.0,60933270.0,38811.0,1570.0,,0.032679341006594864,0.032680002150884624
2018-10-15,52395365.0,37194.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",45785420.0,36805.0,1244.0,59005309.99999999,37583.0,1570.0,,-0.10682589596696901,-0.10682595905625258
2018-9-15,58661984.0,41642.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",51261508.0,41207.0,1244.0,66062460.0,42078.0,1570.0,,-0.012191645111220395,-0.012192663053147257
2018-8-15,59385997.0,42156.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",51894704.0,41716.0,1244.0,66877290.00000001,42597.0,1570.0,,0.020391735874645933,0.020392602991721853
2018-7-15,58199214.0,41314.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",50857208.00000001,40882.0,1244.0,65541220.0,41746.0,1570.0,,0.015821617918497566,0.015822279047466914
2018-6-15,57292750.0,40670.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",50064780.0,40245.0,1244.0,64520720.0,41096.0,1570.0,,0.023711369347732658,0.023710937991618053
2018-5-15,55965726.0,39728.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",48905372.0,39313.0,1244.0,63026080.0,40144.0,1570.0,,0.00467858376714303,0.004678392150416544
2018-4-15,55705105.0,39543.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",48677720.0,39130.0,1244.0,62732490.0,39957.0,1570.0,,0.037259856780389455,0.037260971067334614
2018-3-15,53704098.0,38123.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",46928656.0,37724.0,1244.0,60479540.0,38522.0,1570.0,,-0.02653118223171058,-0.02653082069352941
