,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10265725.25,15524.75,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13853869.0,16957.0,817.0,11593771.0,15479.0,749.0,10781604.0,15164.0,711.0,7125670.0,15161.0,470.0,7005492.0,14969.0,468.0,7120766.0,14897.0,478.0,11633784.0,15348.0,758.0,13010846.0,16223.0,802.0,,0.005634855339629485,0.005619251198341724
2020-11-15,10208203.5,15438.0,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13776254.0,16862.0,817.0,11527110.0,15390.0,749.0,10720458.0,15078.0,711.0,7086660.0,15078.0,470.0,6967116.0,14887.0,468.0,7081570.0,14815.0,478.0,11568596.0,15262.0,758.0,12937864.0,16132.0,802.0,,-0.013391508053642531,-0.013215295866025323
2020-10-15,10346762.25,15644.75,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13948641.0,17073.0,817.0,11670169.0,15581.0,749.0,10852704.0,15264.0,711.0,7175490.0,15267.0,470.0,7054632.0,15074.0,468.0,7170956.0,15002.0,478.0,11712616.0,15452.0,758.0,13188890.0,16445.0,802.0,,0.015375971231039953,0.015134801933621045
2020-9-15,10190079.875,15411.5,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13755829.0,16837.0,817.0,11506887.0,15363.0,749.0,10701261.0,15051.0,711.0,7076790.0,15057.0,470.0,6957288.0,14866.0,468.0,7072010.0,14795.0,478.0,11550404.0,15238.0,758.0,12900170.0,16085.0,802.0,,-0.014510791735485307,-0.01452333565131203
2020-8-15,10340123.25,15638.625,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13958445.0,17085.0,817.0,11675412.0,15588.0,749.0,10857681.0,15271.0,711.0,7181600.0,15280.0,470.0,7060716.0,15087.0,468.0,7176692.0,15014.0,478.0,11720196.0,15462.0,758.0,13090244.0,16322.0,802.0,,-0.018185394416587064,-0.018190807285740074
2020-7-15,10531645.375,15928.375,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14217434.0,17402.0,817.0,11890375.0,15875.0,749.0,11057472.0,15552.0,711.0,7315080.0,15564.0,470.0,7191756.0,15367.0,468.0,7310054.000000001,15293.0,478.0,11937742.0,15749.0,758.0,13333250.0,16625.0,802.0,,0.011664467664851186,0.011670649507371511
2020-6-15,10410215.75,15744.625,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14054034.0,17202.0,817.0,11754057.0,15693.0,749.0,10930203.0,15373.0,711.0,7230480.0,15384.0,470.0,7108452.0,15189.0,468.0,7225448.0,15116.0,478.0,11799786.0,15567.0,758.0,13179266.0,16433.0,802.0,,-0.0007679937071765064,-0.00075365722082954
2020-5-15,10418216.875,15756.5,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14065472.0,17216.0,817.0,11763794.0,15706.0,749.0,10940157.0,15387.0,711.0,7235180.000000001,15394.0,470.0,7113131.999999999,15199.0,468.0,7230228.0,15126.0,478.0,11808882.0,15579.0,758.0,13188890.0,16445.0,802.0,,0.023645052620750118,0.023656193407450177
2020-4-15,10177567.75,15392.375,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13740306.0,16818.0,817.0,11493405.0,15345.0,749.0,10688463.0,15033.0,711.0,7067390.0,15037.0,470.0,6948396.0,14847.0,468.0,7062450.0,14775.0,478.0,11536002.0,15219.0,758.0,12884130.0,16065.0,802.0,,-0.0036428713196202667,-0.00363303880635657
2020-3-15,10214778.875,15448.5,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13790960.0,16880.0,817.0,11536098.0,15402.0,749.0,10728279.0,15089.0,711.0,7092770.0,15091.0,470.0,6973200.0,14900.0,468.0,7087784.0,14828.0,478.0,11577692.0,15274.0,758.0,12931448.0,16124.0,802.0,,0.02170360736945809,0.021717743735584216
2020-2-15,9997790.75,15120.125,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13497657.0,16521.0,817.0,11292673.0,15077.0,749.0,10501470.0,14770.0,711.0,6941430.0,14769.0,470.0,6824376.0,14582.0,468.0,6936258.0,14511.0,478.0,11332100.0,14950.0,758.0,12656362.0,15781.0,802.0,,-0.014184630034793422,-0.014172779136104374
2020-1-15,10141646.25,15337.5,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13692103.0,16759.0,817.0,11455954.999999998,15295.0,749.0,10653624.0,14984.0,711.0,7040600.0,14980.0,470.0,6921720.0,14790.0,468.0,7035682.0,14719.0,478.0,11495070.0,15165.0,758.0,12838416.0,16008.0,802.0,,0.02787417953494664,0.027887845456601612
2019-12-15,9866622.25,14921.375,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13321185.0,16305.0,817.0,11146618.0,14882.0,749.0,10365669.0,14579.0,711.0,6848840.0,14572.0,470.0,6733584.0,14388.0,468.0,6844004.0,14318.0,478.0,11183532.0,14754.0,758.0,12489546.0,15573.0,802.0,,-0.050364273763551015,-0.05035003977724739
