,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11344735.777777778,16000.111111111111,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17861186.0,16898.0,1057.0,12329622.0,16374.0,753.0,12397224.000000002,16248.0,763.0,12073746.0,15361.0,786.0,7623850.000000001,15850.0,481.0,7400085.0,15645.0,473.0,7382076.0,15574.0,474.0,11827497.0,15583.0,759.0,13207336.0,16468.0,802.0,,0.0056299054716404395,0.005635710993477261
2020-11-15,11281223.555555556,15910.444444444445,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17760771.0,16803.0,1057.0,12260346.0,16282.0,753.0,12327791.0,16157.0,763.0,12006936.0,15276.0,786.0,7581041.0,15761.0,481.0,7357988.0,15556.0,473.0,7340364.0,15486.0,474.0,11762223.0,15497.0,759.0,13133552.0,16376.0,802.0,,-0.010831274964497206,-0.01094088880907318
2020-10-15,11404751.555555556,16086.444444444445,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17980627.0,17011.0,1057.0,12412452.0,16484.0,753.0,12327791.0,16157.0,763.0,12157062.0,15467.0,786.0,7676279.0,15959.0,481.0,7449750.0,15750.0,473.0,7431372.0,15678.0,474.0,11909469.0,15691.0,759.0,13297962.000000002,16581.0,802.0,,0.013543845645378916,0.013574723989946857
2020-9-15,11252351.444444444,15871.0,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17731175.0,16775.0,1057.0,12240768.0,16256.0,753.0,12204947.999999998,15996.0,763.0,11989644.000000002,15254.0,786.0,7569978.0,15738.0,481.0,7347109.0,15533.0,473.0,7328514.0,15461.0,474.0,11745525.0,15475.0,759.0,13113502.0,16351.0,802.0,,-0.012869636208964752,-0.012983872082256487
2020-8-15,11399053.111111112,16079.777777777777,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17992254.0,17022.0,1057.0,12340917.0,16389.0,753.0,12291930.0,16110.0,763.0,12166494.0,15479.0,786.0,7681089.0,15969.0,481.0,7455899.000000001,15763.0,473.0,7437534.0,15691.0,474.0,11918577.0,15703.0,759.0,13306784.0,16592.0,802.0,,-0.013520165697762265,-0.013813077106545446
2020-7-15,11555282.444444444,16305.0,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18326266.0,17338.0,1057.0,12273147.0,16299.0,753.0,12519304.0,16408.0,763.0,12392862.0,15767.0,786.0,7823465.0,16265.0,481.0,7594488.0,16056.0,473.0,7575942.0,15983.0,474.0,11939070.0,15730.0,759.0,13552998.0,16899.0,802.0,,0.011655637900434224,0.011650753162593563
2020-6-15,11422150.0,16117.222222222223,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18113809.0,17137.0,1057.0,12133089.0,16113.0,753.0,12375097.0,16219.0,763.0,12250596.0,15586.0,786.0,7733037.0,16077.0,481.0,7507456.0,15872.0,473.0,7488726.0,15799.0,474.0,11800932.0,15548.0,759.0,13396608.0,16704.0,802.0,,-0.0008136810544445705,-0.0008197060079628837
2020-5-15,11431451.555555556,16130.444444444445,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18127550.0,17150.0,1057.0,12144384.0,16128.0,753.0,12385779.0,16233.0,763.0,12260028.0,15598.0,786.0,7738809.0,16089.0,481.0,7514078.0,15886.0,473.0,7495362.0,15813.0,474.0,11810040.0,15560.0,759.0,13407034.0,16717.0,802.0,,0.023621573121405337,0.023620825812274315
2020-4-15,11167654.0,15758.222222222223,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17708978.0,16754.0,1057.0,11865774.0,15758.0,753.0,12100417.0,15859.0,763.0,11977067.999999998,15238.0,786.0,7559877.0,15717.0,481.0,7340960.0,15520.0,473.0,7322352.0,15448.0,474.0,11536800.0,15200.0,759.0,13096660.0,16330.0,802.0,,-0.003673957069955325,-0.0036811195099334393
2020-3-15,11208834.777777778,15816.444444444445,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17772398.0,16814.0,1057.0,11910954.0,15818.0,753.0,12145434.000000002,15918.0,763.0,12021870.0,15295.0,786.0,7587293.999999999,15774.0,481.0,7368394.0,15578.0,473.0,7349844.0,15506.0,474.0,11578545.0,15255.0,759.0,13144780.0,16390.0,802.0,,0.021682479544603783,0.02168280376380749
2020-2-15,10970957.222222222,15480.777777777777,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17395049.0,16457.0,1057.0,11659452.0,15484.0,753.0,11888302.999999998,15581.0,763.0,11766420.0,14970.0,786.0,7425678.0,15438.0,481.0,7212304.0,15248.0,473.0,7193898.0,15177.0,474.0,11332629.0,14931.0,759.0,12864882.0,16041.0,802.0,,-0.014227933466300913,-0.014235278302520915
2020-1-15,11129304.222222222,15704.333333333334,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17644501.0,16693.0,1057.0,11829630.0,15710.0,753.0,12059978.0,15806.0,763.0,11936196.0,15186.0,786.0,7532460.0,15660.0,481.0,7316837.0,15469.0,473.0,7298178.0,15397.0,474.0,11495814.0,15146.0,759.0,13050144.0,16272.0,802.0,,0.027849495037496785,0.02784524761835505
2019-12-15,10827756.666666666,15278.888888888889,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17165680.0,16240.0,1057.0,11510358.0,15286.0,753.0,11734176.999999998,15379.0,763.0,11613150.0,14775.0,786.0,7328035.0,15235.0,481.0,7118650.000000001,15050.0,473.0,7100994.0,14981.0,474.0,11183106.0,14734.0,759.0,12695660.0,15830.0,802.0,,-0.050384189287868475,-0.05038465256964486
2019-11-15,11402249.777777778,16089.555555555555,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18075757.0,17101.0,1057.0,12122547.0,16099.0,753.0,12356785.0,16195.0,763.0,12229374.0,15559.0,786.0,7716202.0,16042.0,481.0,7496577.0,15849.0,473.0,7477824.0,15776.0,474.0,11776644.0,15516.0,759.0,13368538.000000002,16669.0,802.0,,0.04778364837200888,0.04777754462638284
