,lumpSum_avg,npsf_avg,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_5,npsf_5,nfa_5,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2427471.3333333335,6713.666666666667,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",2695084.0,6671.0,404.0,2638600.0,6680.0,395.0,1948730.0,6790.0,287.0,,0.0030460178017464035,0.0030378486055777643
2022-11-15,2420099.6666666665,6693.333333333333,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",2687003.9999999995,6651.0,404.0,2630305.0,6659.0,395.0,1942990.0,6770.0,287.0,,-0.029914546473664205,-0.029904826320112154
2022-10-15,2494728.3333333335,6899.666666666667,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",2769824.0000000005,6856.0,404.0,2711675.0000000005,6865.0,395.0,2002686.0,6978.0,287.0,,-0.04664909388682015,-0.04665622697126004
2022-9-15,2616799.6666666665,7237.333333333333,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",2905164.0,7191.0,404.0,2844395.0,7201.0,395.0,2100840.0,7320.0,287.0,,-0.017919739472978757,-0.01791206802967249
2022-8-15,2664547.6666666665,7369.333333333333,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",2958492.0,7323.0,404.0,2896140.0,7332.0,395.0,2139011.0,7453.0,287.0,,-0.0249595402345959,-0.024962512128429037
2022-7-15,2732756.0,7558.0,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3034040.0,7510.0,404.0,2970400.0,7520.0,395.0,2193828.0,7644.0,287.0,,-0.03342554672511977,-0.033421434052348875
2022-6-15,2827258.6666666665,7819.333333333333,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3139080.0,7770.0,404.0,3073100.0,7780.0,395.0,2269596.0,7908.0,287.0,,0.005004657244904065,0.005012638704425587
2022-5-15,2813179.6666666665,7780.333333333333,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3123728.0,7732.0,404.0,3057695.0,7741.0,395.0,2258116.0,7868.0,287.0,,0.0033911479897315022,0.0033960966382942104
2022-4-15,2803672.0,7754.0,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3113224.0000000005,7706.0,404.0,3047425.0,7715.0,395.0,2250367.0,7841.0,287.0,,0.026479608779111485,0.026476039184538003
2022-3-15,2731347.0,7554.0,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3032828.0,7507.0,404.0,2968820.0,7516.0,395.0,2192393.0,7639.0,287.0,,-0.009972238523244581,-0.009960681520314596
2022-2-15,2758859.0,7630.0,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3063532.0,7583.0,404.0,2998840.0,7592.0,395.0,2214205.0,7715.0,287.0,,-0.03405455577368344,-0.034054943663754944
2022-1-15,2856123.0,7899.0,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3171400.0,7850.0,404.0,3104700.0,7860.0,395.0,2292269.0,7987.0,287.0,,0.005978906347960722,0.005985736118186535
2021-12-15,2839148.0,7852.0,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3152816.0,7804.0,404.0,3086135.0,7813.0,395.0,2278493.0,7939.0,287.0,,-0.0280154769939136,-0.028017330307406607
2021-11-15,2920980.6666666665,8078.333333333333,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3243716.0,8029.0,404.0,3175010.0,8038.0,395.0,2344216.0,8168.0,287.0,,0.030302716769754268,0.030312048295212835
2021-10-15,2835070.3333333335,7840.666666666667,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3148372.0,7793.0,404.0,3081790.0,7802.0,395.0,2275049.0,7927.0,287.0,,-0.021097839447915212,-0.021099504765075494
2021-9-15,2896173.3333333335,8009.666666666667,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3216244.0,7961.0,404.0,3148150.0,7970.0,395.0,2324126.0,8098.0,287.0,,0.011653108516356703,0.011662175816773424
2021-8-15,2862812.6666666665,7917.333333333333,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3179480.0,7870.0,404.0,3111810.0,7878.0,395.0,2297148.0,8004.0,287.0,,0.0032048822328136772,0.0032100016894744954
2021-7-15,2853667.0,7892.0,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3169380.0,7845.0,404.0,3101935.0000000005,7853.0,395.0,2289686.0,7978.0,287.0,,-0.010627804602885704,-0.00978670012547056
2021-6-15,2884321.0,7970.0,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",3245332.0,8033.0,404.0,3112205.0,7879.0,395.0,2295426.0,7998.0,287.0,,,
2021-5-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
2021-4-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
2021-3-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
2021-2-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
2021-1-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
2020-12-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
2020-11-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
2020-10-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
2020-9-15,,,"CHIU MING COURT,CHIU SHUN RD|昭明苑,昭信路",,,404.0,,,395.0,,,287.0,,,
