,lumpSum_avg,npsf_avg,final_address,lumpSum_E,npsf_E,nfa_E,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8106061.333333333,16912.666666666668,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9744624.0,16686.0,584.0,7478680.0,16997.0,440.0,7094880.0,17055.0,416.0,,0.007244751249954939,0.007385934956121165
2020-11-15,8047757.333333333,16788.666666666668,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9689728.0,16592.0,584.0,7398600.0,16815.0,440.0,7054944.0,16959.0,416.0,,-0.012182144964841046,-0.012179575185831681
2020-10-15,8147005.333333333,16995.666666666668,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9809447.999999998,16797.0,584.0,7489680.000000001,17022.0,440.0,7141888.0,17168.0,416.0,,0.014201551149319869,0.014202454597895597
2020-9-15,8032925.333333333,16757.666666666668,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9672207.999999998,16562.0,584.0,7384520.0,16783.0,440.0,7042048.0,16928.0,416.0,,-0.014373697148524212,-0.014370858330392422
2020-8-15,8150072.0,17002.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9813536.000000002,16804.0,584.0,7491880.0,17027.0,440.0,7144800.0,17175.0,416.0,,-0.018040268266619086,-0.018039004293167404
2020-7-15,8299802.666666667,17314.333333333332,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9993992.0,17113.0,584.0,7629160.0,17339.0,440.0,7276256.0,17491.0,416.0,,0.011811740351068911,0.011824061087735593
2020-6-15,8202912.0,17112.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9878360.0,16915.0,584.0,7539399.999999999,17135.0,440.0,7190976.0,17286.0,416.0,,-0.0007075402742449111,-0.0007007708479327412
2020-5-15,8208720.0,17124.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9885951.999999998,16928.0,584.0,7544240.0,17146.0,440.0,7195968.0,17298.0,416.0,,0.023712598109656646,0.02371368219680381
2020-4-15,8018578.666666667,16727.333333333332,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9657024.0,16536.0,584.0,7369559.999999999,16749.0,440.0,7029152.0,16897.0,416.0,,-0.005299065228882904,-0.005450185306300481
2020-3-15,8061296.0,16819.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9692064.000000002,16596.0,584.0,7436880.0,16902.0,440.0,7054944.0,16959.0,416.0,,0.021746779353386536,0.021748374946844118
2020-2-15,7889720.0,16461.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9485912.0,16243.0,584.0,7278479.999999999,16542.0,440.0,6904768.0,16598.0,416.0,,-0.014170130868873865,-0.014173637035114761
2020-1-15,8003125.333333333,16697.666666666668,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9621984.0,16476.0,584.0,7383199.999999999,16780.0,440.0,7004192.0,16837.0,416.0,,0.02794930215798752,0.027949354620262268
2019-12-15,7785525.333333333,16243.666666666666,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9360352.0,16028.0,584.0,7182560.0,16324.0,440.0,6813664.0,16379.0,416.0,,-0.050317149492886126,-0.05031863270516235
2019-11-15,8198026.666666667,17104.333333333332,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9856168.0,16877.0,584.0,7563160.0,17189.0,440.0,7174752.0,17247.0,416.0,,0.04784861538209828,0.04784561976720436
2019-10-15,7823674.666666667,16323.333333333334,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9405904.0,16106.0,584.0,7217760.0,16404.0,440.0,6847360.000000001,16460.0,416.0,,-0.01648874563578062,-0.016488923701070468
2019-9-15,7954840.0,16597.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9563584.0,16376.0,584.0,7338760.000000001,16679.0,440.0,6962175.999999999,16736.0,416.0,,-0.03793138145915187,-0.037929435405958944
2019-8-15,8268474.666666667,17251.333333333332,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9940848.0,17022.0,584.0,7627840.0,17336.0,440.0,7236736.0,17396.0,416.0,,0.0027527629499839446,0.0027512981477175735
2019-7-15,8245776.0,17204.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9913400.0,16975.0,584.0,7607160.0,17289.0,440.0,7216768.0,17348.0,416.0,,0.0020415662896573483,0.00203855786592122
2019-6-15,8228976.0,17169.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9892960.000000002,16940.0,584.0,7591759.999999999,17254.0,440.0,7202208.0,17313.0,416.0,,-0.0062436116337020175,-0.006691865622709958
2019-5-15,8280677.333333333,17284.666666666668,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9917488.0,16982.0,584.0,7659520.0,17408.0,440.0,7265024.0,17464.0,416.0,,0.023447387571717826,0.02344767694311778
2019-4-15,8090965.333333333,16888.666666666668,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9690312.0,16593.0,584.0,7483960.0,17009.0,440.0,7098624.0,17064.0,416.0,,0.03736779519272648,0.03736614729428145
2019-3-15,7799514.666666667,16280.333333333334,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9341080.0,15995.0,584.0,7214680.0,16397.0,440.0,6842784.0,16449.0,416.0,,-0.0030605389534449357,-0.0030617868588107555
2019-2-15,7823458.666666667,16330.333333333334,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9369696.0,16044.0,584.0,7236679.999999999,16447.0,440.0,6864000.0,16500.0,416.0,,0.017399286453434915,0.017402861711627526
2019-1-15,7689664.0,16051.0,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9209680.0,15770.0,584.0,7113040.0,16166.0,440.0,6746272.000000001,16217.0,416.0,,0.04461114677323774,0.04507769771681569
2018-12-15,7361269.333333333,15358.666666666666,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",8848184.0,15151.0,584.0,6798439.999999999,15451.0,440.0,6437184.000000001,15474.0,416.0,,,
2018-11-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-10-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-9-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-8-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-7-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-6-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-5-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-4-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-3-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-2-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2018-1-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-12-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-11-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-10-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-9-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-8-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-7-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-6-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-5-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-4-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-3-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-2-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2017-1-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-12-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-11-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-10-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-9-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-8-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-7-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-6-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-5-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-4-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-3-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-2-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,,,
2016-1-15,,,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,440.0,,,416.0,480.0,,
