,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,6646487.25,16514.0,4,26585949.0,66056.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6693435.0,16527.0,405.0,7003362.0,16026.0,437.0,6621744.0,16472.0,402.0,6267408.0,17031.0,368.0,-0.04990913438751243,-0.04990938641659237
2019-11-15,6995633.25,17381.5,4,27982533.0,69526.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7044975.0,17395.0,405.0,7371315.999999999,16868.0,437.0,6969474.0,17337.0,402.0,6596768.0,17926.0,368.0,0.04747393717971282,0.04747269303201507
2019-10-15,6678575.0,16593.75,4,26714300.0,66375.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6725835.0,16607.0,405.0,7037011.0,16103.0,437.0,6653502.0,16551.0,402.0,6297952.0,17114.0,368.0,-0.017174601860666217,-0.01717627896646179
2019-9-15,6795281.25,16883.75,4,27181125.0,67535.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6843285.0,16897.0,405.0,7159808.0,16384.0,437.0,6769680.0,16840.0,402.0,6408352.0,17414.0,368.0,-0.037729156042327516,-0.03772993459954688
2019-8-15,7061713.75,17545.75,4,28246855.0,70183.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7111394.999999999,17559.0,405.0,7440362.0,17026.0,437.0,7035402.0,17501.0,402.0,6659696.0,18097.0,368.0,0.003948355411697468,0.003948102479007787
2019-7-15,7033941.25,17476.75,4,28135765.0,69907.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7083450.0,17490.0,405.0,7411083.0,16959.0,437.0,7007664.0,17432.0,402.0,6633568.0,18026.0,368.0,0.0046863496279137,0.004685187048188544
2019-6-15,7001131.5,17395.25,4,28004526.0,69581.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7050645.0,17409.0,405.0,7376123.0,16879.0,437.0,6975102.0,17351.0,402.0,6602656.0,17942.0,368.0,-0.011534516189400934,-0.011535237878766313
2019-5-15,7082828.5,17598.25,4,28331314.0,70393.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",7132860.0,17612.0,405.0,7462212.0,17076.0,437.0,7056306.0,17553.0,402.0,6679936.0,18152.0,368.0,0.024704282721643045,0.02470303947828123
2019-4-15,6912070.75,17174.0,4,27648283.0,68696.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6960735.0,17187.0,405.0,7282168.0,16664.0,437.0,6886260.0,17130.0,402.0,6519120.0,17715.0,368.0,0.03518728356128342,0.03518632931993193
2019-3-15,6677121.0,16590.25,4,26708484.0,66361.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6724215.0,16603.0,405.0,7034389.0,16097.0,437.0,6652296.0,16548.0,402.0,6297584.0,17113.0,368.0,0.0029597441079529663,0.002901660898608105
2019-2-15,6657416.75,16542.25,4,26629667.0,66169.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6747300.0,16660.0,405.0,6988941.0,15993.0,437.0,6615714.0,16457.0,402.0,6277712.0,17059.0,368.0,0.030080067968341062,0.02970743853096791
2019-1-15,6463009.0,16065.0,4,25852036.0,64260.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6564240.0,16208.0,405.0,6743784.0,15432.0,437.0,6382956.0,15878.0,402.0,6161056.0,16742.0,368.0,0.03983973972990751,0.03983947700572843
2018-12-15,6215389.5,15449.5,4,24861558.0,61798.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6312735.0,15587.0,405.0,6485517.0,14841.0,437.0,6138138.0,15269.0,402.0,5925168.0,16101.0,368.0,-0.035339664874875165,-0.03534076363522842
2018-11-15,6443086.0,16015.5,4,25772344.0,64062.0,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6543990.0,16158.0,405.0,6722808.0,15384.0,437.0,6363258.000000001,15829.0,402.0,6142288.0,16691.0,368.0,,
2018-10-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-9-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-8-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-7-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-6-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-5-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-4-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-3-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-2-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2018-1-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-12-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-11-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-10-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-9-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-8-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-7-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-6-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-5-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-4-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-3-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-2-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2017-1-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-12-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-11-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-10-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-9-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-8-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-7-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-6-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-5-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-4-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-3-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-2-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
2016-1-15,,,4,,,1612,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,
