,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_E,npsf_E,nfa_E,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,6841868.666666667,16702.666666666668,3,20525606.0,50108.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6897150.000000001,17030.0,405.0,7082896.0,16208.0,437.0,6545559.999999999,16870.0,388.0,-0.04993892016630597,-0.04994122331348827
2019-11-15,7201504.0,17580.666666666668,3,21604512.0,52742.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7259625.0,17925.0,405.0,7454783.0,17059.0,437.0,6890104.0,17758.0,388.0,0.04740394063545916,0.04740343560718907
2019-10-15,6875574.666666667,16785.0,3,20626724.0,50355.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6930765.0,17113.0,405.0,7117419.0,16287.0,437.0,6578540.0,16955.0,388.0,-0.01719242993143877,-0.017194941057069313
2019-9-15,6995850.333333333,17078.666666666668,3,20987551.0,51236.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7051860.0,17412.0,405.0,7241526.999999999,16571.0,437.0,6694164.0,17253.0,388.0,-0.03778330937368024,-0.03778545673076905
2019-8-15,7270556.0,17749.333333333332,3,21811668.0,53248.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7328475.0,18095.0,405.0,7525577.0,17221.0,437.0,6957616.0,17932.0,388.0,0.0039032788075885616,0.0039026413529157367
2019-7-15,7242287.333333333,17680.333333333332,3,21726862.0,53041.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7299720.000000001,18024.0,405.0,7496298.0,17154.0,437.0,6930844.0,17863.0,388.0,0.004642832338579428,0.004640503068414237
2019-6-15,7208818.0,17598.666666666668,3,21626454.0,52796.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7265700.000000001,17940.0,405.0,7461338.0,17074.0,437.0,6899416.0,17782.0,388.0,-0.011605372190908514,-0.011607009135839341
2019-5-15,7293461.333333333,17805.333333333332,3,21880384.0,53416.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7350750.000000001,18150.0,405.0,7548738.0,17274.0,437.0,6980896.0,17992.0,388.0,0.024650801810303324,0.024649440831750802
2019-4-15,7117997.0,17377.0,3,21353991.0,52131.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7173765.0,17713.0,405.0,7366946.0,16858.0,437.0,6813280.0,17560.0,388.0,0.03514827727287706,0.035146244117471914
2019-3-15,6876306.666666667,16787.0,3,20628920.0,50361.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6929955.0,17111.0,405.0,7116545.0,16285.0,437.0,6582420.0,16965.0,388.0,-0.0034416155776945123,-0.0034431582071831057
2019-2-15,6900054.0,16845.0,3,20700162.0,50535.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6953445.0,17169.0,405.0,7141017.0,16341.0,437.0,6605700.000000001,17025.0,388.0,0.018914398028854196,0.018912434219811702
2019-1-15,6771966.333333333,16532.333333333332,3,20315899.0,49597.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6824249.999999999,16850.0,405.0,7008169.0,16037.0,437.0,6483480.0,16710.0,388.0,0.03981626545644179,0.039812990062476405
2018-12-15,6512656.666666667,15899.333333333334,3,19537970.0,47698.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6562620.0,16204.0,405.0,6739414.0,15422.0,437.0,6235936.0,16072.0,388.0,-0.03288378381508872,-0.03304411287706788
2018-11-15,6734099.333333333,16442.666666666668,3,20202298.0,49328.0,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6804000.0,16800.0,405.0,6933442.0,15866.0,437.0,6464856.000000001,16662.0,388.0,,
2018-10-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-9-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-8-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-7-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-6-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-5-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-4-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-3-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-2-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2018-1-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
2017-12-15,,,3,,,1230,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,437.0,,,388.0,,
