,lumpSum_avg,npsf_avg,final_address,lumpSum_RA,npsf_RA,nfa_RA,lumpSum_RB,npsf_RB,nfa_RB,lumpSum_RC,npsf_RC,nfa_RC,lumpSum_RD,npsf_RD,nfa_RD,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7396474.25,11233.25,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",8077697.0,11111.0,727.0,7578036.0,11079.0,684.0,6157984.0,11888.0,518.0,7772180.0,10855.0,716.0,,0.003158335630225606,0.0031254883575557724
2022-11-15,7373187.25,11198.25,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",8051525.0,11075.0,727.0,7553412.0,11043.0,684.0,6141408.0,11856.0,518.0,7746404.0,10819.0,716.0,,-0.02998791265126821,-0.030013642564802212
2022-10-15,7601129.25,11544.75,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",8300159.0,11417.0,727.0,7786656.0,11384.0,684.0,6333586.0,12227.0,518.0,7984116.0,11151.0,716.0,,-0.04680376044006296,-0.04683371862615593
2022-9-15,7974359.25,12112.0,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",8707279.0,11977.0,727.0,8168328.0,11942.0,684.0,6647494.0,12833.0,518.0,8374336.000000001,11696.0,716.0,,-0.02050752227756747,-0.020302515570654323
2022-8-15,8141317.5,12363.0,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",8949370.0,12310.0,727.0,8317440.0,12160.0,684.0,6772332.0,13074.0,518.0,8526128.0,11908.0,716.0,,-0.025049858563794936,-0.025076886680861166
2022-7-15,8350496.25,12681.0,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9178375.0,12625.0,727.0,8530848.0,12472.0,684.0,6948970.0,13415.0,518.0,8743792.0,12212.0,716.0,,-0.03345099644701499,-0.03347878279758387
2022-6-15,8639496.0,13120.25,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9496074.0,13062.0,727.0,8824968.0,12902.0,684.0,7192430.0,13885.0,518.0,9044512.000000002,12632.0,716.0,,0.0046676453638438975,0.004651786056127705
2022-5-15,8599357.25,13059.5,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9450273.0,12999.0,727.0,8781192.0,12838.0,684.0,7160832.0,13824.0,518.0,9005132.0,12577.0,716.0,,0.003307486997957021,0.0032842299345074988
2022-4-15,8571008.75,13016.75,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9418285.0,12955.0,727.0,8751096.0,12794.0,684.0,7139594.0,13783.0,518.0,8975060.0,12535.0,716.0,,0.025063592507559296,0.025082196365640907
2022-3-15,8361441.0,12698.25,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9176194.0,12622.0,727.0,8565732.0,12523.0,684.0,6959330.0,13435.0,518.0,8744508.0,12213.0,716.0,,-0.008517748179280527,-0.008665612740792805
2022-2-15,8433273.5,12809.25,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9269250.0,12750.0,727.0,8652600.0,12650.0,684.0,7032368.0,13576.0,518.0,8778876.0,12261.0,716.0,,-0.034223045441578726,-0.03424812455234294
2022-1-15,8732113.0,13263.5,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9596400.0,13200.0,727.0,8959032.0,13098.0,684.0,7284116.0,14062.0,518.0,9088904.0,12694.0,716.0,,0.004198616001753086,0.0023427167957679185
2021-12-15,8695603.5,13232.5,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9407380.0,12940.0,727.0,8907048.0,13022.0,684.0,7432782.0,14349.0,518.0,9035204.0,12619.0,716.0,,-0.028168310460737533,-0.028165393654524085
2021-11-15,8947643.5,13616.0,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9679278.0,13314.0,727.0,9166284.0,13401.0,684.0,7647752.0,14764.0,518.0,9297260.0,12985.0,716.0,,0.028932195088280155,0.028981673908936356
2021-10-15,8696047.75,13232.5,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9395021.0,12923.0,727.0,8941248.0,13072.0,684.0,7423458.0,14331.0,518.0,9024464.0,12604.0,716.0,,-0.021245089053011146,-0.02124669465041884
2021-9-15,8884806.25,13519.75,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9598581.0,13203.0,727.0,9136872.0,13358.0,684.0,7584556.0,14642.0,518.0,9219216.0,12876.0,716.0,,0.00972074873363793,0.009859759855091355
2021-8-15,8799270.75,13387.75,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9490985.0,13055.0,727.0,9032904.0,13206.0,684.0,7499086.0,14477.0,518.0,9174108.0,12813.0,716.0,,0.002976922637426771,0.0029779742283488897
2021-7-15,8773153.75,13348.0,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9463359.0,13017.0,727.0,9005544.0,13166.0,684.0,7476812.0,14434.0,518.0,9146900.0,12775.0,716.0,,-0.0035783041922291536,-0.0035831591519857042
2021-6-15,8804659.5,13396.0,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9497528.0,13064.0,727.0,9037008.0,13212.0,684.0,7504266.0,14487.0,518.0,9179836.0,12821.0,716.0,,0.021152149464878978,0.021153333079239278
2021-5-15,8622279.75,13118.5,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9301965.0,12795.0,727.0,8848908.0,12937.0,684.0,7348866.0,14187.0,518.0,8989380.0,12555.0,716.0,,0.0038190045691375296,0.003960433925804141
2021-4-15,8589476.5,13066.75,"THE CAPITOL WHISTLER (R WING)(Block 6,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,6座(首都),1 康城路",9250348.0,12724.0,727.0,8798976.0,12864.0,684.0,7308462.0,14109.0,518.0,9000120.0,12570.0,716.0,,0.012136479898822605,0.01214175058094491
