,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7518222.285714285,15989.0,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",7528191.999999999,16804.0,448.0,11015438.0,15278.0,721.0,6771520.0,15115.0,448.0,5747630.0,17470.0,329.0,7147140.0,15708.0,455.0,7263215.999999999,15824.0,459.0,7154420.0,15724.0,455.0,,0.003200535603959276,0.0031998996109925404
2022-11-15,7494236.714285715,15938.0,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",7504000.0,16750.0,448.0,10980109.000000002,15229.0,721.0,6750016.0,15067.0,448.0,5729206.000000001,17414.0,329.0,7124390.0,15658.0,455.0,7240265.999999999,15774.0,459.0,7131670.000000001,15674.0,455.0,,-0.0299214242311161,-0.029919917918039718
2022-10-15,7725391.428571428,16429.571428571428,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",7735616.0,17267.0,448.0,11318979.0,15699.0,721.0,6958336.0,15532.0,448.0,5905879.0,17951.0,329.0,7344155.000000001,16141.0,455.0,7463340.0,16260.0,459.0,7351435.0,16157.0,455.0,,-0.046726357111723904,-0.046724246543549564
2022-9-15,8104064.857142857,17234.85714285714,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8114624.0,18113.0,448.0,11874149.0,16469.0,721.0,7299263.999999999,16293.0,448.0,6195399.0,18831.0,329.0,7704060.0,16932.0,455.0,7829163.0,17057.0,459.0,7711795.0,16949.0,455.0,,-0.01798570204995409,-0.017988832272453514
2022-8-15,8252491.714285715,17550.571428571428,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8263360.0,18445.0,448.0,12091170.0,16770.0,721.0,7432768.0,16591.0,448.0,6308904.0,19176.0,329.0,7845565.0,17243.0,455.0,7972830.0,17370.0,459.0,7852845.0,17259.0,455.0,,-0.024978220539371043,-0.02497599225402991
2022-7-15,8463905.0,18000.14285714286,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8475264.0,18918.0,448.0,12401200.0,17200.0,721.0,7623168.0,17016.0,448.0,6470443.0,19667.0,329.0,8046220.0,17684.0,455.0,8177085.0,17815.0,459.0,8053955.0,17701.0,455.0,,-0.0334439677844538,-0.03344558571965528
2022-6-15,8756766.0,18623.0,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8768256.0,19572.0,448.0,12830195.0,17795.0,721.0,7887040.0,17605.0,448.0,6694492.000000001,20348.0,329.0,8324680.0,18296.0,455.0,8459829.0,18431.0,459.0,8332870.0,18314.0,455.0,,0.004889217753356601,0.004887186167875646
2022-5-15,8714160.57142857,18532.428571428572,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8725696.0,19477.0,448.0,12767468.0,17708.0,721.0,7848960.0,17520.0,448.0,6661921.0,20249.0,329.0,8284185.0,18207.0,455.0,8418519.0,18341.0,459.0,8292375.0,18225.0,455.0,,0.0033550701542779393,0.003356716914295399
2022-4-15,8685021.714285715,18470.428571428572,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8696576.0,19412.0,448.0,12724929.0,17649.0,721.0,7822528.0,17461.0,448.0,6639549.0,20181.0,329.0,8256430.0,18146.0,455.0,8390520.0,18280.0,459.0,8264620.0,18164.0,455.0,,0.026388284815342944,0.026387444530003634
2022-3-15,8461731.142857144,17995.571428571428,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8473024.0,18913.0,448.0,12397595.0,17195.0,721.0,7621376.0,17012.0,448.0,6468798.0,19662.0,329.0,8044400.0,17680.0,455.0,8174790.0,17810.0,459.0,8052135.0,17697.0,455.0,,-0.01000496032790632,-0.01000455824334745
2022-2-15,8547246.0,18177.428571428572,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8558592.0,19104.0,448.0,12523049.000000002,17369.0,721.0,7698432.0,17184.0,448.0,6534269.0,19861.0,329.0,8125390.0,17858.0,455.0,8257410.0,17990.0,459.0,8133580.0,17876.0,455.0,,-0.03413619813183888,-0.03413567736205669
