,lumpSum_avg,npsf_avg,final_address,lumpSum_RA,npsf_RA,nfa_RA,lumpSum_RB,npsf_RB,nfa_RB,lumpSum_RC,npsf_RC,nfa_RC,lumpSum_RD,npsf_RD,nfa_RD,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6972432.25,10551.75,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",7533041.0,10277.0,733.0,5952424.999999999,11425.0,521.0,7021943.999999999,10266.0,684.0,7382318.999999999,10239.0,721.0,,0.003148312117325691,0.0031610971146076583
2022-11-15,6950549.75,10518.5,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",7509585.0,10245.0,733.0,5932627.0,11387.0,521.0,7000740.0,10235.0,684.0,7359247.0,10207.0,721.0,,-0.030129876617509876,-0.03010603964960812
2022-10-15,7166474.75,10845.0,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",7744145.0,10565.0,733.0,6114976.999999999,11737.0,521.0,7218251.999999999,10553.0,684.0,7588525.0,10525.0,721.0,,-0.04700008926302157,-0.046970429280724146
2022-9-15,7519911.25,11379.5,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8128237.0,11089.0,733.0,6414031.0,12311.0,521.0,7573932.0,11073.0,684.0,7963445.0,11045.0,721.0,,-0.018280210286338527,-0.018246915710464995
2022-8-15,7659936.5,11591.0,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8282167.0,11299.0,733.0,6530735.0,12535.0,521.0,7714152.0,11278.0,684.0,8112692.0,11252.0,721.0,,-0.025265214204357678,-0.025229164914641333
2022-7-15,7858482.75,11891.0,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8499135.0,11595.0,733.0,6696934.0,12854.0,521.0,7913196.0,11569.0,684.0,8324666.0,11546.0,721.0,,-0.03371590078477782,-0.03368412498476292
2022-6-15,8132683.5,12305.5,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8798199.0,12003.0,733.0,6927737.0,13297.0,521.0,8188848.0,11972.0,684.0,8615950.0,11950.0,721.0,,0.004618112599553914,0.004653631056864116
2022-5-15,8095298.5,12248.5,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8760083.0,11951.0,733.0,6892830.0,13230.0,521.0,8150544.0,11916.0,684.0,8577737.0,11897.0,721.0,,-0.0042851979967990506,-0.003640209057816257
2022-4-15,8130137.75,12293.25,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8732229.0,11913.0,733.0,6868864.0,13184.0,521.0,8121816.0,11874.0,684.0,8797642.0,12202.0,721.0,,0.026365533007491893,0.026383351771065877
2022-3-15,7921288.75,11977.25,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8509397.0,11609.0,733.0,6691203.0,12843.0,521.0,7911144.0,11566.0,684.0,8573411.0,11891.0,721.0,,-0.010037672123643926,-0.010021903541761357
2022-2-15,8001606.25,12098.5,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8597357.0,11729.0,733.0,6757891.0,12971.0,521.0,7989804.0,11681.0,684.0,8661373.0,12013.0,721.0,,-0.03414027086987215,-0.03412901165575599
2022-1-15,8284439.25,12526.0,"THE CAPITOL MONTREAL (R WING)(Block 3,Phase 1,LOHAS PARK),1 LOHAS PARK RD|日出康城,1期,3座(首都),1 康城路",8902285.0,12145.0,733.0,6995988.0,13428.0,521.0,8270244.0,12091.0,684.0,8969240.0,12440.0,721.0,,0.005906686824207474,0.005922624425304557
