,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9943370.0,17280.0,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13473856.0,19139.0,704.0,7265370.0,17895.0,406.0,9090884.0,14806.0,614.0,,0.005912640299510663,0.005859753967946135
2020-11-15,9884924.0,17179.333333333332,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13390080.000000002,19020.0,704.0,7224770.0,17795.0,406.0,9039922.0,14723.0,614.0,,-0.012020558925805669,-0.0120763686551143
2020-10-15,10005192.0,17389.333333333332,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13547776.0,19244.0,704.0,7314902.0,18017.0,406.0,9152898.0,14907.0,614.0,,0.014412389200005427,0.01434960139996111
2020-9-15,9863042.0,17143.333333333332,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13351360.0,18965.0,704.0,7213808.0,17768.0,406.0,9023958.0,14697.0,614.0,,-0.014107377306886937,-0.014165500584638502
2020-8-15,10004174.666666666,17389.666666666668,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13538624.0,19231.0,704.0,7319774.0,18029.0,406.0,9154126.0,14909.0,614.0,,-0.01808013611320558,-0.018087709392057172
2020-7-15,10188382.0,17710.0,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13789248.0,19587.0,704.0,7455378.0,18363.0,406.0,9320519.999999998,15180.0,614.0,,0.011668505302918186,0.011672410838395209
2020-6-15,10070870.0,17505.666666666668,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13630848.0,19362.0,704.0,7369306.0,18151.0,406.0,9212456.0,15004.0,614.0,,-0.0008071563675463578,-0.0007991019616050421
2020-5-15,10079005.333333334,17519.666666666668,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13642816.0,19379.0,704.0,7374990.0,18165.0,406.0,9219210.0,15015.0,614.0,,0.023660260755790308,0.02366391399189771
2020-4-15,9846045.333333334,17114.666666666668,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13328128.0,18932.0,704.0,7204470.0,17745.0,406.0,9005538.0,14667.0,614.0,,-0.0036601104893956293,-0.0036482185826280933
2020-3-15,9882215.333333334,17177.333333333332,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13378112.0,19003.0,704.0,7230454.0,17809.0,406.0,9038080.0,14720.0,614.0,,0.021689211161182387,0.02168999563820906
2020-2-15,9672428.0,16812.666666666668,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13094400.0,18600.0,704.0,7076986.0,17431.0,406.0,8845898.0,14407.0,614.0,,-0.014223350335891949,-0.014208931887032095
