,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10009433.142857144,14848.142857142857,7,70066032.0,103937.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17015523.0,15799.0,1077.0,11209641.0,15087.0,743.0,10491880.0,14840.0,707.0,6869103.0,14709.0,467.0,6724846.0,14431.0,466.0,6708924.0,14244.0,471.0,11046115.0,14827.0,745.0,-0.04997511517890563,-0.049970750612409076
2019-11-15,10535969.42857143,15629.142857142857,7,73751786.0,109404.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17911587.0,16631.0,1077.0,11798840.0,15880.0,743.0,11043340.0,15620.0,707.0,7230561.0,15483.0,467.0,7078540.000000001,15190.0,466.0,7061702.999999999,14993.0,471.0,11627215.0,15607.0,745.0,0.04738536410472771,0.04739930878002552
2019-10-15,10059305.57142857,14921.857142857143,7,70415139.0,104453.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17102760.0,15880.0,1077.0,11264623.0,15161.0,743.0,10543491.0,14913.0,707.0,6903194.0,14782.0,467.0,6757932.0,14502.0,466.0,6741894.0,14314.0,471.0,11101245.000000002,14901.0,745.0,-0.017250057134483243,-0.017236674977654465
2019-9-15,10235875.0,15183.57142857143,7,71651125.0,106285.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17404320.0,16160.0,1077.0,11462261.0,15427.0,743.0,10728018.0,15174.0,707.0,7023680.0,15040.0,467.0,6876296.0,14756.0,466.0,6860115.0,14565.0,471.0,11296435.0,15163.0,745.0,-0.037797655609646985,-0.03778777646004394
2019-8-15,10637965.142857144,15779.857142857143,7,74465756.0,110459.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",18089292.0,16796.0,1077.0,11911776.0,16032.0,743.0,11149390.0,15770.0,707.0,7299677.0,15631.0,467.0,7146110.0,15335.0,466.0,7129056.0,15136.0,471.0,11740455.0,15759.0,745.0,0.0038621980879536277,0.003871565802986421
2019-7-15,10597037.285714285,15719.0,7,74179261.0,110033.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",18021441.0,16733.0,1077.0,11865710.0,15970.0,743.0,11105556.0,15708.0,707.0,7271190.0,15570.0,467.0,7118616.0,15276.0,466.0,7101738.0,15078.0,471.0,11695010.0,15698.0,745.0,0.004604337962125227,0.004619865421311653
2019-6-15,10548468.57142857,15646.714285714286,7,73839280.0,109527.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17940666.0,16658.0,1077.0,11810728.0,15896.0,743.0,11054652.0,15636.0,707.0,7237566.0,15498.0,467.0,7085530.0,15205.0,466.0,7068768.0,15008.0,471.0,11641370.0,15626.0,745.0,-0.011614261410177296,-0.011605136581447906
2019-5-15,10672420.857142856,15830.42857142857,7,74706946.0,110813.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",18152835.0,16855.0,1077.0,11948926.0,16082.0,743.0,11184033.0,15819.0,707.0,7322560.000000001,15680.0,467.0,7168478.0,15383.0,466.0,7151664.0,15184.0,471.0,11778450.0,15810.0,745.0,0.024613480959047696,0.02463268268777319
2019-4-15,10416045.714285715,15449.857142857143,7,72912320.0,108149.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17718804.0,16452.0,1077.0,11661385.0,15695.0,743.0,10914665.999999998,15438.0,707.0,7146034.0,15302.0,467.0,6996058.000000001,15013.0,466.0,6979278.0,14818.0,471.0,11496095.0,15431.0,745.0,0.03510760027741866,0.03511676875957126
2019-3-15,10062766.142857144,14925.714285714286,7,70439363.0,104480.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17118915.0,15895.0,1077.0,11265366.0,15162.0,743.0,10544198.0,14914.0,707.0,6903661.0,14783.0,467.0,6758398.0,14503.0,466.0,6742365.0,14315.0,471.0,11106460.0,14908.0,745.0,-0.0034730072010336066,-0.00346231984968004
2019-2-15,10097836.0,14977.57142857143,7,70684852.0,104843.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17180304.0,15952.0,1077.0,11304002.0,15214.0,743.0,10580255.0,14965.0,707.0,6927478.0,14834.0,467.0,6781698.0,14553.0,466.0,6765915.0,14365.0,471.0,11145200.0,14960.0,745.0,0.01886936758544322,0.01888241010690006
2019-1-15,9910825.0,14700.0,7,69375775.0,102900.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",16863666.0,15658.0,1077.0,11094475.999999998,14932.0,743.0,10383709.0,14687.0,707.0,6799053.0,14559.0,467.0,6655878.000000001,14283.0,466.0,6640158.0,14098.0,471.0,10938835.0,14683.0,745.0,,
2018-12-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-11-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-10-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-9-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-8-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-7-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-6-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-5-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-4-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-3-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-2-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2018-1-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-12-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-11-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-10-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-9-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-8-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-7-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-6-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-5-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-4-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-3-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-2-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2017-1-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-12-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-11-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-10-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-9-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-8-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-7-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-6-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-5-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-4-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-3-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-2-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
2016-1-15,,,7,,,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,
