,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6882566.333333333,16785.333333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",7491250.0,16250.0,461.0,6120785.0,18271.0,335.0,7382915.0,16015.0,461.0,8492979.0,15139.0,561.0,5983772.0,17756.0,337.0,5823697.0,17281.0,337.0,,0.003196618350199909,0.003197497783665959
2022-11-15,6860635.5,16731.833333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",7467278.0,16198.0,461.0,6101354.999999999,18213.0,335.0,7359404.0,15964.0,461.0,8466051.0,15091.0,561.0,5964563.0,17699.0,337.0,5805162.0,17226.0,337.0,,-0.029933397522416416,-0.02993554870565973
2022-10-15,7072334.5,17248.166666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",7697778.0,16698.0,461.0,6289625.0,18775.0,335.0,7586677.0,16457.0,461.0,8726916.0,15556.0,561.0,6148565.0,18245.0,337.0,5984446.0,17758.0,337.0,,-0.04673056989929947,-0.046729058049778005
2022-9-15,7419030.0,18093.666666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8074876.0,17516.0,461.0,6597825.0,19695.0,335.0,7958704.0,17264.0,461.0,9154959.0,16319.0,561.0,6450180.0,19140.0,337.0,6277636.0,18628.0,337.0,,-0.01798387791687761,-0.017982813206693704
2022-8-15,7554896.333333333,18425.0,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8222857.0,17837.0,461.0,6718760.0,20056.0,335.0,8104380.0,17580.0,461.0,9322698.0,16618.0,561.0,6568130.0,19490.0,337.0,6392553.0,18969.0,337.0,,-0.024959318972168743,-0.024960310460398705
2022-7-15,7748288.333333333,18896.666666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8433534.0,18294.0,461.0,6890614.999999999,20569.0,335.0,8311830.0,18030.0,461.0,9561123.0,17043.0,561.0,6736293.0,19989.0,337.0,6556335.0,19455.0,337.0,,-0.033451865935232195,-0.03345154470435796
2022-6-15,8016453.666666667,19550.666666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8725347.0,18927.0,461.0,7129135.0,21281.0,335.0,8599494.0,18654.0,461.0,9892113.0,17633.0,561.0,6969497.0,20681.0,337.0,6783136.0,20128.0,337.0,,0.0048854189173599405,0.004882896157075045
2022-5-15,7977480.333333333,19455.666666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8682935.0,18835.0,461.0,7094630.0,21178.0,335.0,8557543.0,18563.0,461.0,9843867.0,17547.0,561.0,6935797.0,20581.0,337.0,6750110.0,20030.0,337.0,,0.003375260820039472,0.0033780008767330116
2022-4-15,7950644.833333333,19390.166666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8653892.0,18772.0,461.0,7070510.0,21106.0,335.0,8528961.0,18501.0,461.0,9810768.0,17488.0,561.0,6912207.0,20511.0,337.0,6727531.0,19963.0,337.0,,0.02637898485409096,0.026378241038897077
2022-3-15,7746305.166666667,18891.833333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8431229.0,18289.0,461.0,6888940.0,20564.0,335.0,8309525.0,18025.0,461.0,9558879.0,17039.0,561.0,6734608.0,19984.0,337.0,6554650.0,19450.0,337.0,,-0.010007358621313744,-0.010008995868887371
2022-2-15,7824608.833333333,19082.833333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8516514.0,18474.0,461.0,6958620.0,20772.0,335.0,8393427.0,18207.0,461.0,9655371.0,17211.0,561.0,6802682.0,20186.0,337.0,6621039.0,19647.0,337.0,,-0.03413220319574417,-0.03413107479986177
2022-1-15,8101117.833333333,19757.166666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8817547.0,19127.0,461.0,7204510.0,21506.0,335.0,8690311.0,18851.0,461.0,9996459.0,17819.0,561.0,7042963.0,20899.0,337.0,6854917.0,20341.0,337.0,,0.0059030913821087605,0.005905962816193933
2021-12-15,8053576.833333333,19641.166666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8765915.0,19015.0,461.0,7161965.0,21379.0,335.0,8639140.0,18740.0,461.0,9938115.000000002,17715.0,561.0,7001849.0,20777.0,337.0,6814477.0,20221.0,337.0,,-0.02809612321437671,-0.02809804212644529
2021-11-15,8286392.333333333,20209.0,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",9019004.0,19564.0,461.0,7369330.0,21998.0,335.0,8889001.999999998,19282.0,461.0,10225347.0,18227.0,561.0,7204049.0,21377.0,337.0,7011622.0,20806.0,337.0,,0.030238693196343203,0.030239177535154482
2021-10-15,8043177.166666667,19615.833333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8754390.0,18990.0,461.0,7152920.0,21352.0,335.0,8628076.0,18716.0,461.0,9925212.0,17692.0,561.0,6992750.0,20750.0,337.0,6805715.0,20195.0,337.0,,-0.02113344157462882,-0.021133437572773528
2021-9-15,8216827.0,20039.333333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8943400.0,19400.0,461.0,7307355.0,21813.0,335.0,8814320.0,19120.0,461.0,10139514.0,18074.0,561.0,7143726.0,21198.0,337.0,6952647.0,20631.0,337.0,,0.011594368832831714,0.011593666391828794
2021-8-15,8122650.0,19809.666666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8841058.0,19178.0,461.0,7223605.0,21563.0,335.0,8712900.0,18900.0,461.0,10023387.0,17867.0,561.0,7061835.0,20955.0,337.0,6873115.0,20395.0,337.0,,0.0031230749901902666,0.003122679089865743
2021-7-15,8097361.333333333,19748.0,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8813398.0,19118.0,461.0,7201160.0,21496.0,335.0,8686162.0,18842.0,461.0,9991971.0,17811.0,561.0,7039930.0,20890.0,337.0,6851547.0,20331.0,337.0,,-0.003421368312252704,-0.0034231885276924112
2021-6-15,8125160.5,19815.833333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8843824.0,19184.0,461.0,7225950.0,21570.0,335.0,8715666.0,18906.0,461.0,10026192.0,17872.0,561.0,7064194.0,20962.0,337.0,6875137.0,20401.0,337.0,,0.02129555034822661,0.021294323804287973
2021-5-15,7955738.666666667,19402.666666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8659424.0,18784.0,461.0,7075200.0,21120.0,335.0,8534032.0,18512.0,461.0,9816939.0,17499.0,561.0,6916925.000000001,20525.0,337.0,6731912.0,19976.0,337.0,,0.005716396947743396,0.0057190248285157175
2021-4-15,7910519.0,19292.333333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8610097.0,18677.0,461.0,7035000.0,21000.0,335.0,8485627.0,18407.0,461.0,9761400.0,17400.0,561.0,6877496.0,20408.0,337.0,6693494.0,19862.0,337.0,,0.012278391479572326,0.012278093572365645
2021-3-15,7814568.666666667,19058.333333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8505911.0,18451.0,461.0,6949575.0,20745.0,335.0,8382363.0,18183.0,461.0,9643029.0,17189.0,561.0,6794257.0,20161.0,337.0,6612277.0,19621.0,337.0,,0.014445207610130684,0.01444261102535438
2021-2-15,7703293.0,18787.0,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8384668.0,18188.0,461.0,6850749.999999999,20450.0,335.0,8262964.0,17924.0,461.0,9505584.0,16944.0,561.0,6697538.0,19874.0,337.0,6518254.0,19342.0,337.0,,0.009936829671950864,0.009936118552498208
