,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7712730.5,16337.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",7617103.0,16523.0,461.0,7549678.0,16306.0,463.0,8388576.0,16416.0,511.0,7295565.000000001,16105.0,453.0,,0.003224139199254017,0.0032238256063863435
2022-11-15,7687943.5,16285.0,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",7592670.000000001,16470.0,461.0,7525602.0,16254.0,463.0,8361493.0,16363.0,511.0,7272009.0,16053.0,453.0,,-0.029932933905367554,-0.029932985852568872
2022-10-15,7925167.0,16787.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",7826858.0,16978.0,461.0,7757565.0,16755.0,463.0,8619548.0,16868.0,511.0,7496697.0,16549.0,453.0,,-0.046720391811915674,-0.04671995002910234
2022-9-15,8313580.75,17610.25,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8210410.0,17810.0,461.0,8137688.0,17576.0,463.0,9042145.0,17695.0,511.0,7864080.0,17360.0,453.0,,-0.017983769042326125,-0.017983856352204786
2022-8-15,8465828.25,17932.75,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8360696.0,18136.0,461.0,8286774.0,17898.0,463.0,9207709.0,18019.0,511.0,8008134.0,17678.0,453.0,,-0.024969369872808067,-0.024970095693779948
2022-7-15,8682628.0,18392.0,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8575061.0,18601.0,461.0,8498828.0,18356.0,463.0,9443280.0,18480.0,511.0,8213343.0,18131.0,453.0,,-0.03343812290383641,-0.03343712637788554
2022-6-15,8983002.75,19028.25,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8871484.0,19244.0,461.0,8792833.0,18991.0,463.0,9770320.0,19120.0,511.0,8497374.0,18758.0,453.0,,0.004872084398042986,0.004871673003802313
2022-5-15,8939449.0,18936.0,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8828611.0,19151.0,461.0,8750237.0,18899.0,463.0,9722797.0,19027.0,511.0,8456151.0,18667.0,453.0,,0.003364846618261197,0.003364684064114387
2022-4-15,8909470.0,18872.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8799107.0,19087.0,461.0,8721068.0,18836.0,463.0,9690093.0,18963.0,511.0,8427612.0,18604.0,453.0,,0.026376153064252117,0.026376614547926502
2022-3-15,8680511.5,18387.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8572756.0,18596.0,461.0,8496976.0,18352.0,463.0,9441236.0,18476.0,511.0,8211078.0,18126.0,453.0,,-0.009987022812352753,-0.009987616432455715
2022-2-15,8768078.5,18573.0,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8659424.0,18784.0,461.0,8582631.0,18537.0,463.0,9536282.0,18662.0,511.0,8293977.0,18309.0,453.0,,-0.034141013929152586,-0.03414025325671499
