,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10008663.857142856,14847.42857142857,7,70060647.0,103932.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17010138.0,15794.0,1077.0,11209641.0,15087.0,743.0,10491880.0,14840.0,707.0,6869103.0,14709.0,467.0,6724846.0,14431.0,466.0,6708924.0,14244.0,471.0,11046115.0,14827.0,745.0,-0.049978764387431096,-0.049973034488432266
2019-11-15,10535200.142857144,15628.42857142857,7,73746401.0,109399.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17906202.0,16626.0,1077.0,11798840.0,15880.0,743.0,11043340.0,15620.0,707.0,7230561.0,15483.0,467.0,7078540.000000001,15190.0,466.0,7061702.999999999,14993.0,471.0,11627215.0,15607.0,745.0,0.04737296737770347,0.047391549943034406
2019-10-15,10058690.142857144,14921.285714285714,7,70410831.0,104449.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17098452.0,15876.0,1077.0,11264623.0,15161.0,743.0,10543491.0,14913.0,707.0,6903194.0,14782.0,467.0,6757932.0,14502.0,466.0,6741894.0,14314.0,471.0,11101245.000000002,14901.0,745.0,-0.017236321377935293,-0.0172280767783215
2019-9-15,10235105.714285715,15182.857142857143,7,71645740.0,106280.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17398935.0,16155.0,1077.0,11462261.0,15427.0,743.0,10728018.0,15174.0,707.0,7023680.0,15040.0,467.0,6876296.0,14756.0,466.0,6860115.0,14565.0,471.0,11296435.0,15163.0,745.0,-0.037790761935871164,-0.0377807755334848
2019-8-15,10637089.42857143,15779.0,7,74459626.0,110453.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",18083907.0,16791.0,1077.0,11911776.0,16032.0,743.0,11149390.0,15770.0,707.0,7299677.0,15631.0,467.0,7146110.0,15335.0,466.0,7129056.0,15136.0,471.0,11739710.0,15758.0,745.0,0.003852434514814984,0.003862653142836292
2019-7-15,10596268.0,15718.285714285714,7,74173876.0,110028.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",18016056.0,16728.0,1077.0,11865710.0,15970.0,743.0,11105556.0,15708.0,707.0,7271190.0,15570.0,467.0,7118616.0,15276.0,466.0,7101738.0,15078.0,471.0,11695010.0,15698.0,745.0,0.004604673774829315,0.0046200763316959215
2019-6-15,10547699.285714285,15646.0,7,73833895.0,109522.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17935281.0,16653.0,1077.0,11810728.0,15896.0,743.0,11054652.0,15636.0,707.0,7237566.0,15498.0,467.0,7085530.0,15205.0,466.0,7068768.0,15008.0,471.0,11641370.0,15626.0,745.0,-0.011615098645662791,-0.01160566024113785
2019-5-15,10671651.57142857,15829.714285714286,7,74701561.0,110808.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",18147450.0,16850.0,1077.0,11948926.0,16082.0,743.0,11184033.0,15819.0,707.0,7322560.000000001,15680.0,467.0,7168478.0,15383.0,466.0,7151664.0,15184.0,471.0,11778450.0,15810.0,745.0,0.02461529894241199,0.0246338215712385
2019-4-15,10415276.42857143,15449.142857142857,7,72906935.0,108144.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17713419.0,16447.0,1077.0,11661385.0,15695.0,743.0,10914665.999999998,15438.0,707.0,7146034.0,15302.0,467.0,6996058.000000001,15013.0,466.0,6979278.0,14818.0,471.0,11496095.0,15431.0,745.0,0.03509445687236279,0.03510854167464306
2019-3-15,10062150.714285715,14925.142857142857,7,70435055.0,104476.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17114607.0,15891.0,1077.0,11265366.0,15162.0,743.0,10544198.0,14914.0,707.0,6903661.0,14783.0,467.0,6758398.0,14503.0,466.0,6742365.0,14315.0,471.0,11106460.0,14908.0,745.0,-0.003473218881846707,-0.003462451950133061
2019-2-15,10097220.57142857,14977.0,7,70680544.0,104839.0,4676,"SEA TO SKY(LOHAS PARK),Block 1,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第1座,1 康城路",17175996.0,15948.0,1077.0,11304002.0,15214.0,743.0,10580255.0,14965.0,707.0,6927478.0,14834.0,467.0,6781698.0,14553.0,466.0,6765915.0,14365.0,471.0,11145200.0,14960.0,745.0,0.018870539381846907,0.01888314414554504
