,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,11506520.6,17398.2,5,57532603.0,86991.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14839487.0,18343.0,809.0,16155950.000000002,19007.0,850.0,9156222.0,16409.0,558.0,8514864.0,16312.0,522.0,8866080.0,16920.0,524.0,-0.050132617148449854,-0.050129938197462365
2019-11-15,12113818.0,18316.4,5,60569090.0,91582.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15621790.0,19310.0,809.0,17009350.0,20011.0,850.0,9642240.0,17280.0,558.0,8961174.0,17167.0,522.0,9334536.0,17814.0,524.0,0.04494187054754395,0.04452656310591041
2019-10-15,11592815.2,17535.6,5,57964076.0,87678.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14916342.0,18438.0,809.0,16243500.0,19110.0,850.0,9336456.0,16732.0,558.0,8554014.0,16387.0,522.0,8913764.0,17011.0,524.0,-0.015601032065322817,-0.015130581297388424
2019-9-15,11776541.4,17805.0,5,58882707.0,89025.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15179267.0,18763.0,809.0,16531650.0,19449.0,850.0,9504414.0,17033.0,558.0,8702784.0,16672.0,522.0,8964592.0,17108.0,524.0,-0.03794188959067313,-0.03793159345112662
2019-8-15,12240987.6,18507.0,5,61204938.0,92535.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15777118.0,19502.0,809.0,17185300.0,20218.0,850.0,9881622.0,17709.0,558.0,9042606.0,17323.0,522.0,9318292.0,17783.0,524.0,0.003724616651179291,0.0037313837576335995
2019-7-15,12195563.8,18438.2,5,60977819.0,92191.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15718061.0,19429.0,809.0,17122400.0,20144.0,850.0,9847584.0,17648.0,558.0,9006066.0,17253.0,522.0,9283708.0,17717.0,524.0,0.004486151457318899,0.004489044334760717
2019-6-15,12141097.0,18355.8,5,60705485.0,91779.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15646869.000000002,19341.0,809.0,17046750.0,20055.0,850.0,9806292.0,17574.0,558.0,8963262.0,17171.0,522.0,9242312.0,17638.0,524.0,-0.011728968350638969,-0.011715679412493296
2019-5-15,12285189.6,18573.4,5,61425948.0,92867.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15832130.0,19570.0,809.0,17250750.0,20295.0,850.0,9925146.0,17787.0,558.0,9066618.0,17369.0,522.0,9351304.0,17846.0,524.0,0.024718703000565334,0.024773233872569467
2019-4-15,11988841.0,18124.4,5,59944205.0,90622.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",15452709.0,19101.0,809.0,16839350.0,19811.0,850.0,9682974.0,17353.0,558.0,8846856.0,16948.0,522.0,9122316.0,17409.0,524.0,0.0351951325962756,0.03525406689819044
2019-3-15,11581237.8,17507.2,5,57906189.0,87536.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14930095.0,18455.0,809.0,16271550.0,19143.0,850.0,9350964.0,16758.0,558.0,8545140.0,16370.0,522.0,8808440.0,16810.0,524.0,-0.003368581170567264,-0.0033246800564739054
2019-2-15,11620382.0,17565.6,5,58101910.0,87828.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14982680.0,18520.0,809.0,16330200.0,19212.0,850.0,9380538.0,16811.0,558.0,8573328.0,16424.0,522.0,8835164.0,16861.0,524.0,0.018977811549282908,0.019028170975077696
