,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,27732005.5,23412.5,2,55464011.0,46825.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",27865827.0,23397.0,1191.0,27598184.0,23428.0,1178.0,-0.0499331104326296,-0.0499330438664124
2019-11-15,29189529.5,24643.0,2,58379059.0,49286.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29330757.0,24627.0,1191.0,29048302.0,24659.0,1178.0,0.04743479478738677,0.04743486207336245
2019-10-15,27867634.0,23527.0,2,55735268.0,47054.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28002792.0,23512.0,1191.0,27732476.0,23542.0,1178.0,-0.017169413203674266,-0.017169354164926043
2019-9-15,28354463.5,23938.0,2,56708927.0,47876.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28492293.0,23923.0,1191.0,28216634.0,23953.0,1178.0,-0.03772638695632524,-0.037726368259200505
2019-8-15,29466113.5,24876.5,2,58932227.0,49753.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29609451.0,24861.0,1191.0,29322775.999999996,24892.0,1178.0,0.0039145395572524055,0.003914526120381678
2019-7-15,29351217.0,24779.5,2,58702434.0,49559.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29493924.0,24764.0,1191.0,29208510.0,24795.0,1178.0,0.004682843078418486,0.004682938696075167
2019-6-15,29214410.5,24664.0,2,58428821.0,49328.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29356959.0,24649.0,1191.0,29071862.0,24679.0,1178.0,-0.011542199025147415,-0.011542160949022162
2019-5-15,29555546.5,24952.0,2,59111093.0,49904.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29699966.999999996,24937.0,1191.0,29411126.0,24967.0,1178.0,0.024680794692435448,0.024680711264424504
2019-4-15,28843662.0,24351.0,2,57687324.0,48702.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28984176.0,24336.0,1191.0,28703148.0,24366.0,1178.0,0.03515546732250718,0.03515558578473055
2019-3-15,27864087.0,23524.0,2,55728174.0,47048.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28000410.0,23510.0,1191.0,27727764.0,23538.0,1178.0,-0.003389267089590642,-0.003389256058295209
2019-2-15,27958847.0,23604.0,2,55917694.0,47208.0,2369,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28095690.0,23590.0,1191.0,27822004.0,23618.0,1178.0,0.01892895290491814,0.018929010813494296
