,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9872897.875,14930.625,8,78983183.0,119445.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13251740.0,16220.0,817.0,11151861.0,14889.0,749.0,10370646.0,14586.0,711.0,6852130.000000001,14579.0,470.0,6736392.0,14394.0,468.0,6847350.0,14325.0,478.0,11188080.0,14760.0,758.0,12584984.0,15692.0,802.0,-0.04992680051974541,-0.049912503977091904
2019-11-15,10391723.375,15715.0,8,83133787.0,125720.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13947824.0,17072.0,817.0,11739077.0,15673.0,749.0,10916694.0,15354.0,711.0,7211210.0,15343.0,470.0,7089732.0,15149.0,468.0,7206328.0,15076.0,478.0,11776288.000000002,15536.0,758.0,13246634.0,16517.0,802.0,0.04741983914818482,0.04743099469286083
2019-10-15,9921258.875,15003.375,8,79370071.0,120027.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13316283.0,16299.0,817.0,11208785.0,14965.0,749.0,10423971.0,14661.0,711.0,6884090.0,14647.0,470.0,6768216.0,14462.0,468.0,6879375.999999999,14392.0,478.0,11243414.0,14833.0,758.0,12645936.0,15768.0,802.0,-0.01720486776495278,-0.017195214817362303
2019-9-15,10094941.0,15265.875,8,80759528.0,122127.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13549128.0,16584.0,817.0,11406521.0,15229.0,749.0,10607409.0,14919.0,711.0,7003940.0,14902.0,470.0,6886152.0,14714.0,468.0,6999353.999999999,14643.0,478.0,11439736.0,15092.0,758.0,12867288.0,16044.0,802.0,-0.03774701277442394,-0.03773361908663997
2019-8-15,10490942.75,15864.5,8,83927542.0,126916.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",14080178.0,17234.0,817.0,11855172.0,15828.0,749.0,11024766.0,15506.0,711.0,7277950.000000001,15485.0,470.0,7155252.0,15289.0,468.0,7273248.0,15216.0,478.0,11889230.0,15685.0,758.0,13371746.0,16673.0,802.0,0.00390391665571177,0.003915488724183458
2019-7-15,10450146.25,15802.625,8,83601170.0,126421.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",14025439.0,17167.0,817.0,11810232.0,15768.0,749.0,10982817.0,15447.0,711.0,7249280.0,15424.0,470.0,7126703.999999999,15228.0,468.0,7244090.0,15155.0,478.0,11842992.0,15624.0,758.0,13319616.0,16608.0,802.0,0.0046519541372707085,0.004664875947677061
2019-6-15,10401757.75,15729.25,8,83214062.0,125834.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13960079.0,17087.0,817.0,11757053.0,15697.0,749.0,10933758.000000002,15378.0,711.0,7214970.0,15351.0,470.0,7093008.0,15156.0,468.0,7209674.0,15083.0,478.0,11787658.0,15551.0,758.0,13257862.0,16531.0,802.0,-0.011575629279394817,-0.011562691467801978
2019-5-15,10523574.75,15913.25,8,84188598.0,127306.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",14123479.0,17287.0,817.0,11896367.000000002,15883.0,749.0,11063160.0,15560.0,711.0,7298630.0,15529.0,470.0,7175376.0,15332.0,468.0,7293324.0,15258.0,478.0,11925614.0,15733.0,758.0,13412648.0,16724.0,802.0,0.02467988505039931,0.02469453790305698
2019-4-15,10270109.625,15529.75,8,82160877.0,124238.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13782790.0,16870.0,817.0,11610998.0,15502.0,749.0,10797957.0,15187.0,711.0,7121910.0,15153.0,470.0,7001748.0,14961.0,468.0,7116942.0,14889.0,478.0,11639090.0,15355.0,758.0,13089442.0,16321.0,802.0,0.03514012492909324,0.035152767478482616
2019-3-15,9921468.0,15002.375,8,79371744.0,120019.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13314648.999999998,16297.0,817.0,11218521.999999998,14978.0,749.0,10432503.0,14673.0,711.0,6879390.0,14637.0,470.0,6763536.0,14452.0,468.0,6874596.0,14382.0,478.0,11243414.0,14833.0,758.0,12645134.0,15767.0,802.0,-0.003425531752202726,-0.003412770904259732
2019-2-15,9955571.125,15053.75,8,79644569.0,120430.0,5253,"SEA TO SKY(LOHAS PARK),Block 2,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第2座,1 康城路",13360401.0,16353.0,817.0,11258219.0,15031.0,749.0,10469475.0,14725.0,711.0,6902420.0,14686.0,470.0,6786000.0,14500.0,468.0,6897540.0,14430.0,478.0,11282072.0,14884.0,758.0,12688442.0,15821.0,802.0,0.018904532958026854,0.01891804998561697
