,A,B,C,D,E,F,G,H,J,K,L,M
8.0,442,502,543,363,520,490,442,506,543,363,520,490
20.0,440,505,539,357,524,487,440,508,539,357,524,487
33.0,437,506,536,353,527,481,437,510,535,353,529,482
