,A,B,C,D,E,F,G,H,I,J
8.0,12466230,3709615,3726928,4116768,4876297,4917390,7209445,7530210,5068980,4894456
19.0,13005120,4015151,4047824,4388096,5093625,5264520,7721195,8070075,5427176,5306540
29.0,12948540,4332405,4351934,4852672,5712952,5634165,8368670,8712240,6008872,5696472
