,A,B,BC,C,D,E,F
9.0,9189027,13692735,,8635195,5544966,5458734,6532288
20.0,9393448,21125000,,8445076,5618106,5523606,6396264
29.0,8794511,14632920,21038016,8306853,5620014,5661918,6639304
