,A,B,C,D,E,F,G
7.0,4848060,5175460,4911300,4992960,5866120,5056650,5878080
18.0,5129040,5406840,5219850,5229420,6070480,5267025,6055920
28.0,5412120,5592220,5372000,5412960,6211400,5178625,6272760
