,3,6,B1,B2,B3,B4,B5,B6
5.0,5070780,4607255,5659200,5685300,4855110,5070780,4548965,4466890
10.0,5143710,4674925,5743350,5769900,4928820,5143710,4616635,4599550
17.0,5249010,4773750,5866200,5892750,5044260,5249010,4762025,4705410
