,1,10,11,12,13,14,2,3,5,6,7,8,9
2.0,2934840,4752180,4474025,4752180,4487800,4737900,3933540,4474025,4001400,4752180,4474025,4462500,4474025
3.0,3850220,4770540,4491125,4770540,4509650,4756260,3948710,3502650,4011850,4770540,4491125,4544610,4491125
4.0,3864280,4787880,4507750,4562460,4521525,4773600,3963060,4507750,4021825,4787880,4507750,4561950,4507750
