,1,10,11,12,2,3,4,5,6,7,8,9
6.0,,,,3309966,,3432102,,,,3326904,,3247332
17.0,,,,3448374,,3569070,,,,3469347,,3359022
28.0,,,,3586782,3536584,3706477,,,,3611349,,3504876
