,A,B,C,D,E,F,G,H,J
17.0,14713,15045,14531,14330,14847,14332,14010,14021,14359
36.0,15836,16099,14883,15615,15227,15278,14732,14611,15260
58.0,16502,14671,16015,16666,15915,15946,16028,14816,16159
