,LA,LB,LC,LD,LE,RA,RB,RC,RD,RE
9.0,8227458,8221268,6451170,6649523,6250392,8073576,8090368,6721265,6558168,6494280
26.0,8482932,8664084,6635415,6503122,6467904,8534475,8625188,7088460,6769094,6771960
40.0,8916939,9128592,6894396,6873032,6946533,8907228,9109144,7075585,7000534,7107880
