,A,B,C,D,E,F,G,H,J,K,L,M
8.0,442,502,543,363,524,490,442,506,539,363,520,490
20.0,440,505,539,357,524,487,440,508,539,357,524,487
33.0,437,507,535,353,527,482,436,508,535,353,527,482
