,A1,A2,A3,A4,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7
5.0,550,550,550,475,330,330,420,552,550,552,550,395,400,420
8.0,550,550,550,475,329,330,420,552,550,552,550,395,395,420
10.0,550,550,550,475,329,330,420,480,570,552,550,395,400,420
