,A,B,BC,C,D,E,F,G,H
8.0,7246672,9113774,14755008,6494670,5572674,5517048,6386172,8295281,7388160
20.0,7713168,9233603,15427520,6644235,5821896,5704512,6605196,8980405,7615488
33.0,7874784,9311458,16169888,6528132,6129372,5915628,6572241,9143562,7957664
