,A,B,C,D,E,F,G,H,I,J
8.0,17409,17417,17373,17214,16563,16519,16971,16622,18269,19448
19.0,19571,19171,18219,18945,17557,17282,17900,17288,19293,19398
29.0,18991,19180,18919,18762,17856,17723,17785,17963,20567,20210
