,A,B,C,D,E,F,G,H,J,K,L,M
8.0,5250076,5782036,6258075,4469982,5768880,5491920,5280574,5097950,5564121,4526610,5646680,5622750
20.0,5356560,5985765,6231918,4546038,5836312,5575663,5365360,6098032,5882646,4654209,6031240,5751470
33.0,5652595,6077060,6360712,4691723,6318730,5795088,5551211,6214860,6124680,4943059,6254367,5826898
