,A,B,C,CD,D,E,F,G,H
9.0,6458496,6297966,6427776,13043576,6762969,6374952,6128080,6128010,6314000
22.0,6732924,6568688,6733296,13674443,7214418,6637800,6414520,6219174,6438080
37.0,6979280,6789012,7133664,14501454,7521715,7041840,6745228,6102024,6915480
