,A,B,C,D,E,E & F,F
10.0,11300490,8268456,11390391,10310180,12952272,,10860678
14.0,11431782,8389800,10875366,10383018,13098888,,10987932
17.0,11545360,8411920,10985238,10484775,13227624,,11097150
