,LA,LB,LC,LD,LE,RA,RB,RC,RD,RE
9.0,11014,10991,12430,12763,12184,10808,10816,13051,12468,12489
26.0,11356,11583,12785,12482,12608,11425,11531,13764,12869,13023
40.0,11937,12204,13284,13192,13541,11924,12178,13739,13309,13669
