,A,B,BC,C,D,E,F,G,H
8.0,6187480,6474100,,5552342,5533360,5377120,6073475,6511919,6000600
19.0,6314880,7337046,,6060365,5641524,5514156,6148528,5941244,6030024
30.0,6570564,7646626,,6265630,6024177,6240483,6407633,6157277,6311448
