,A,B,C,D,E,F,G,H,I,J,K,M,N,O,P
2.0,8006,8124,10359,11013,7976,8077,10256,11013,8077,8077,11013,8077,8077,10102,8210
3.0,8026,8245,11053,11053,8022,8105,11053,11053,8105,8105,11053,8105,8105,10136,8239
4.0,8063,8183,11093,11093,8050,8135,11093,11093,8135,8135,11093,7792,8135,10174,8269
