,A1,A2,A3,A4,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7
5.0,5684250,5888300,5888300,5095325,3645510,4316070,4435620,5956632,5888300,5991408,5824500,4277455,4350800,4349940
8.0,5751900,5586350,5955400,5151850,3730202,4353360,4489380,6023976,5955400,5974848,5891600,4326830,4375020,4454940
10.0,5794800,5998300,5998300,5189375,3758825,4378770,4522980,5205600,6323580,6102912,5976850,4358825,4439200,4488540
