,A,B,C,D,E,F,G,H,I,J
8.0,12012210,3779489,3787314,4183002,7006149,7251841,7518153,7729230,5115320,5523232
19.0,13503990,4160107,3971742,4603635,7426611,7586798,7929700,8038920,5402040,5509032
29.0,13103790,4162060,4124342,4559166,7553088,7780397,7878755,8352795,5758760,5739640
